Year,Spring Date,Fall Date
1918,"Sunday, March 31","Sunday, October 27"
1919,"Sunday, March 30","Sunday, October 26"
1920,"Sunday, March 28","Sunday, October 31"
1921,"Sunday, April 24","Sunday, September 25"
1922,"Sunday, April 30","Sunday, September 24"
1923,"Sunday, April 29","Sunday, September 30"
1924,"Sunday, April 27","Sunday, September 28"
1925,"Sunday, April 26","Sunday, September 27"
1926,"Sunday, April 25","Sunday, September 26"
1927,"Sunday, April 24","Sunday, September 25"
1928,"Sunday, April 29","Sunday, September 30"
1929,"Sunday, April 28","Sunday, September 29"
1930,"Sunday, April 27","Sunday, September 28"
1931,"Sunday, April 26","Sunday, September 27"
1932,"Sunday, April 24","Sunday, September 25"
1933,"Sunday, April 30","Sunday, September 24"
1934,"Sunday, April 29","Sunday, September 30"
1935,"Sunday, April 28","Sunday, September 29"
1936,"Sunday, April 26","Sunday, September 27"
1937,"Sunday, April 25","Sunday, September 26"
1938,"Sunday, April 24","Sunday, September 25"
1939,"Sunday, April 30","Sunday, September 24"
1940,"Sunday, April 28","Sunday, September 29"
1941,"Sunday, April 27","Sunday, September 28"
1942,"Monday, February 9","Sunday, September 30"
1945,"Sunday, April 28","Sunday, September 29"
1946,"Sunday, April 27","Sunday, September 28"
1947,"Sunday, April 25","Sunday, September 26"
1948,"Sunday, April 24","Sunday, September 25"
1949,"Sunday, April 30","Sunday, September 24"
1950,"Sunday, April 29","Sunday, September 30"
1951,"Sunday, April 27","Sunday, September 28"
1952,"Sunday, April 26","Sunday, September 27"
1953,"Sunday, April 25","Sunday, September 26"
1954,"Sunday, April 24","Sunday, October 30"
1955,"Sunday, April 29","Sunday, October 28"
1956,"Sunday, April 28","Sunday, October 27"
1957,"Sunday, April 27","Sunday, October 26"
1958,"Sunday, April 26","Sunday, October 25"
1959,"Sunday, April 24","Sunday, October 30"
1960,"Sunday, April 30","Sunday, October 29"
1961,"Sunday, April 29","Sunday, October 28"
1962,"Sunday, April 28","Sunday, October 27"
1963,"Sunday, April 26","Sunday, October 25"
1964,"Sunday, April 25","Sunday, October 31"
1965,"Sunday, April 24","Sunday, October 30"
1966,"Sunday, April 30","Sunday, October 29"
1967,"Sunday, April 28","Sunday, October 27"
1968,"Sunday, April 27","Sunday, October 26"
1969,"Sunday, April 26","Sunday, October 25"
1970,"Sunday, April 25","Sunday, October 31"
1971,"Sunday, April 30","Sunday, October 29"
1972,"Sunday, April 29","Sunday, October 28"
1973,"Sunday, January 6","Sunday, October 27"
1974,"Sunday, February 23","Sunday, October 26"
1975,"Sunday, April 25","Sunday, October 31"
1976,"Sunday, April 24","Sunday, October 30"
1977,"Sunday, April 30","Sunday, October 29"
1978,"Sunday, April 29","Sunday, October 28"
1979,"Sunday, April 27","Sunday, October 26"
1980,"Sunday, April 26","Sunday, October 25"
1981,"Sunday, April 25","Sunday, October 31"
1982,"Sunday, April 24","Sunday, October 30"
1983,"Sunday, April 29","Sunday, October 28"
1984,"Sunday, April 28","Sunday, October 27"
1985,"Sunday, April 27","Sunday, October 26"
1986,"Sunday, April 5","Sunday, October 25"
1987,"Sunday, April 3","Sunday, October 30"
1988,"Sunday, April 2","Sunday, October 29"
1989,"Sunday, April 1","Sunday, October 28"
1990,"Sunday, April 7","Sunday, October 27"
1991,"Sunday, April 5","Sunday, October 25"
1992,"Sunday, April 5","Sunday, October 25"
1993,"Sunday, April 4","Sunday, October 31"
1994,"Sunday, April 3","Sunday, October 30"
1995,"Sunday, April 2","Sunday, October 29"
1996,"Sunday, April 7","Sunday, October 27"
1997,"Sunday, April 6","Sunday, October 26"
1998,"Sunday, April 5","Sunday, October 25"
1999,"Sunday, April 4","Sunday, October 31"
2000,"Sunday, April 2","Sunday, October 29"
2001,"Sunday, April 1","Sunday, October 28"
2002,"Sunday, April 7","Sunday, October 27"
2003,"Sunday, April 6","Sunday, October 26"
2004,"Sunday, April 4","Sunday, October 31"
2005,"Sunday, April 3","Sunday, October 30"
2006,"Sunday, April 2","Sunday, October 29"
2007,"Sunday, March 11","Sunday, November 4"
2008,"Sunday, March 9","Sunday, November 2"
2009,"Sunday, March 8","Sunday, November 1"
2010,"Sunday, March 14","Sunday, November 7"
2011,"Sunday, March 13","Sunday, November 6"
2012,"Sunday, March 11","Sunday, Nov 4"
2013,"Sunday, November 4","Sunday, March 10"
2014,"Sunday, March 10","Sunday, November 3"
2015,"Sunday, November 3","Sunday, March 9"
2016,"Sunday, March 13","Sunday, November 6"
2017,"Sunday, March 12","Sunday, November 5"
2018,"Sunday, March 11","Sunday, November 4"
2019,"Sunday, March 10","Sunday, November 3"
2020,"Sunday, March 8","Sunday, November 1"
2021,"Sunday, March 14","Sunday, November 7"
2022,"Sunday, March 13","Sunday, November 6"
2023,"Sunday, March 12","Sunday, November 5"
2024,"Sunday, March 10","Sunday, November 3"
