Date, Open, High, Low, Close
12/31/80, 202.34, 202.34, 200.54, 202.34
12/30/80, 200.46, 200.46, 199.41, 200.46
12/29/80, 199.84, 201.76, 199.84, 199.84
12/26/80, 201.28, 201.00, 200.00, 201.28
12/24/80, 200.14, 200.00, 199.00, 200.14
12/23/80, 199.86, 200.00, 199.00, 199.86
12/22/80, 199.79, 199.00, 198.00, 199.79
12/19/80, 197.91, 197.00, 195.00, 197.91
12/18/80, 196.01, 196.00, 194.00, 196.01
12/17/80, 194.02, 194.00, 192.00, 194.02
12/16/80, 191.88, 191.00, 191.00, 191.88
12/15/80, 194.02, 192.00, 191.00, 194.02
12/12/80, 191.22, 191.00, 189.00, 191.22
12/11/80, 188.75, 192.69, 187.98, 188.75
12/10/80, 193.58, 196.01, 193.57, 193.58
12/09/80, 195.07, 195.74, 193.92, 195.07
12/08/80, 195.87, 202.57, 195.83, 195.87
12/05/80, 203.02, 205.83, 203.01, 203.02
12/04/80, 206.19, 206.76, 205.07, 206.19
12/03/80, 204.90, 204.90, 203.88, 204.90
12/02/80, 203.71, 204.47, 202.53, 203.71
12/01/80, 204.91, 208.29, 204.91, 204.91
11/28/80, 208.15, 208.15, 207.14, 208.15
11/26/80, 207.06, 207.29, 205.46, 207.06
11/25/80, 205.41, 205.50, 204.32, 205.41
11/24/80, 204.22, 205.59, 203.80, 204.22
11/21/80, 206.07, 207.21, 205.87, 206.07
11/20/80, 206.50, 206.64, 204.79, 206.50
11/19/80, 205.02, 205.63, 203.96, 205.02
11/18/80, 203.76, 203.76, 201.90, 203.76
11/17/80, 201.59, 201.81, 200.84, 201.59
11/14/80, 201.76, 201.96, 200.42, 201.76
11/13/80, 200.25, 200.26, 198.33, 200.25
11/12/80, 197.78, 197.78, 195.18, 197.78
11/11/80, 195.02, 195.07, 193.23, 195.02
11/10/80, 193.10, 193.74, 193.00, 193.10
11/07/80, 193.51, 193.54, 193.06, 193.51
11/06/80, 193.96, 196.11, 193.96, 193.96
11/05/80, 196.03, 197.46, 195.35, 196.03
11/03/80, 193.15, 193.27, 192.75, 193.15
10/31/80, 192.78, 192.78, 191.69, 192.78
10/30/80, 192.51, 194.40, 192.51, 192.51
10/29/80, 194.49, 194.84, 193.83, 194.49
10/28/80, 193.76, 194.00, 193.02, 193.76
10/27/80, 194.35, 196.27, 194.35, 194.35
10/24/80, 196.17, 196.17, 195.16, 196.17
10/23/80, 195.81, 198.36, 195.74, 195.81
10/22/80, 197.90, 197.90, 196.49, 197.90
10/21/80, 196.46, 197.68, 196.17, 196.46
10/20/80, 197.15, 197.15, 196.59, 197.15
10/17/80, 197.24, 197.48, 196.62, 197.24
10/16/80, 197.95, 200.83, 197.95, 197.95
10/15/80, 199.43, 199.53, 198.83, 199.43
10/14/80, 199.02, 199.88, 199.02, 199.02
10/13/80, 198.87, 198.88, 197.76, 198.87
10/10/80, 197.79, 198.31, 197.58, 197.79
10/09/80, 197.53, 197.79, 197.16, 197.53
10/08/80, 197.18, 197.20, 196.09, 197.18
10/07/80, 196.17, 196.97, 196.02, 196.17
10/06/80, 196.01, 196.01, 193.58, 196.01
10/03/80, 193.43, 193.44, 190.94, 193.43
10/02/80, 190.81, 190.85, 189.87, 190.81
10/01/80, 189.62, 189.62, 187.69, 189.62
09/30/80, 187.76, 187.77, 185.68, 187.76
09/29/80, 185.79, 190.23, 185.79, 185.79
09/26/80, 190.77, 193.69, 190.65, 190.77
09/25/80, 194.05, 195.75, 194.03, 194.05
09/24/80, 195.18, 195.22, 193.96, 195.18
09/23/80, 195.05, 196.52, 195.04, 195.05
09/22/80, 195.94, 195.94, 195.08, 195.94
09/19/80, 195.33, 195.33, 193.58, 195.33
09/18/80, 193.61, 194.60, 193.55, 193.61
09/17/80, 193.95, 193.95, 191.40, 193.95
09/16/80, 191.31, 191.39, 189.78, 191.31
09/15/80, 189.59, 189.60, 188.95, 189.59
09/12/80, 189.58, 189.58, 188.38, 189.58
09/11/80, 188.16, 188.16, 186.33, 188.16
09/10/80, 186.31, 186.42, 185.15, 186.31
09/09/80, 184.84, 184.84, 183.47, 184.84
09/08/80, 184.45, 185.86, 184.45, 184.45
09/05/80, 185.61, 185.90, 184.97, 185.61
09/04/80, 185.05, 185.93, 184.88, 185.05
09/03/80, 184.53, 184.53, 182.59, 184.53
09/02/80, 182.34, 182.34, 181.39, 182.34
08/29/80, 181.52, 181.53, 180.46, 181.52
08/28/80, 180.99, 182.12, 180.96, 180.99
08/27/80, 182.15, 182.47, 181.84, 182.15
08/26/80, 182.39, 182.69, 181.58, 182.39
08/25/80, 181.58, 181.95, 181.58, 181.58
08/22/80, 181.70, 181.95, 180.36, 181.70
08/21/80, 179.91, 179.92, 177.90, 179.91
08/20/80, 177.68, 177.68, 176.16, 177.68
08/19/80, 176.28, 177.06, 176.28, 176.28
08/18/80, 177.24, 179.80, 177.22, 177.24
08/15/80, 179.89, 179.89, 178.96, 179.89
08/14/80, 178.76, 178.76, 177.06, 178.76
08/13/80, 177.02, 177.19, 176.19, 177.02
08/12/80, 176.62, 177.64, 176.62, 176.62
08/11/80, 177.11, 177.11, 175.89, 177.11
08/08/80, 175.88, 176.14, 175.46, 175.88
08/07/80, 175.24, 175.24, 173.65, 175.24
08/06/80, 173.45, 173.45, 172.43, 173.45
08/05/80, 172.52, 172.88, 171.94, 172.52
08/04/80, 171.89, 172.45, 171.61, 171.89
08/01/80, 172.49, 172.49, 171.88, 172.49
07/31/80, 171.81, 172.33, 171.10, 171.81
07/30/80, 172.33, 172.36, 171.27, 172.33
07/29/80, 171.06, 171.06, 170.10, 171.06
07/28/80, 170.02, 170.02, 169.48, 170.02
07/25/80, 169.63, 169.86, 169.57, 169.63
07/24/80, 169.92, 170.06, 169.57, 169.92
07/23/80, 169.82, 170.09, 169.56, 169.82
07/22/80, 169.79, 170.82, 169.78, 169.79
07/21/80, 170.48, 170.48, 169.39, 170.48
07/18/80, 169.99, 170.10, 168.95, 169.99
07/17/80, 168.67, 168.67, 167.11, 168.67
07/16/80, 167.10, 167.47, 166.74, 167.10
07/15/80, 167.05, 167.53, 166.84, 167.05
07/14/80, 166.52, 166.52, 164.91, 166.52
07/11/80, 164.82, 164.82, 163.70, 164.82
07/10/80, 163.84, 164.25, 163.84, 163.84
07/09/80, 164.09, 164.42, 163.63, 164.09
07/08/80, 163.58, 163.81, 163.42, 163.58
07/07/80, 163.63, 163.63, 162.83, 163.63
07/03/80, 160.87, 160.88, 159.40, 160.87
07/02/80, 159.18, 159.18, 158.40, 159.18
