,Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close ,Monday_Close ,Friday_Adj Close ,Monday_Adj Close ,Friday_Volume,Monday_Volume,y
0,2019-01-04,2019-01-07,13.84,14.22,14.15,14.39,13.71,14.02,14.07,14.3,10.17,10.34,202700,306200,0
1,2019-01-11,2019-01-14,14.79,14.73,14.85,14.95,14.64,14.58,14.81,14.62,10.7,10.57,201000,361700,0
2,2019-01-25,2019-01-28,14.43,14.42,14.6,14.7,14.41,14.38,14.51,14.62,10.49,10.57,185900,229200,0
3,2019-02-01,2019-02-04,15.03,14.97,15.1,15.3,14.76,14.93,14.99,15.3,10.83,11.06,119500,148000,0
4,2019-02-08,2019-02-11,15.08,15.02,15.36,15.45,15.08,15.02,15.19,15.43,10.98,11.15,194300,239400,0
5,2019-02-22,2019-02-25,15.55,15.65,15.77,15.7,15.46,15.49,15.63,15.53,11.3,11.22,156200,170100,0
6,2019-03-01,2019-03-04,15.31,15.24,15.34,15.35,15.02,15.13,15.2,15.25,10.99,11.02,269700,155400,0
7,2019-03-08,2019-03-11,15.26,15.22,15.36,15.45,15.15,15.21,15.17,15.43,10.96,11.15,132000,231000,1
8,2019-03-15,2019-03-18,15.51,15.45,15.54,15.59,15.41,15.32,15.42,15.35,11.14,11.09,536500,158000,0
9,2019-03-22,2019-03-25,15.46,15.26,15.57,15.46,15.17,15.11,15.18,15.31,10.97,11.07,222400,326700,0
10,2019-03-29,2019-04-01,15.64,15.61,15.71,15.7,15.42,15.43,15.59,15.7,11.42,11.5,234400,212500,0
11,2019-04-05,2019-04-08,15.79,15.7,15.83,15.7,15.61,15.51,15.7,15.63,11.5,11.45,150600,87000,0
12,2019-04-12,2019-04-15,15.7,15.7,15.7,15.7,15.5,15.55,15.66,15.66,11.48,11.48,76800,56600,0
13,2019-04-26,2019-04-29,15.89,16.0,15.97,16.05,15.76,15.88,15.97,16.01,11.7,11.73,91500,191600,0
14,2019-05-03,2019-05-06,15.67,15.84,16.12,16.5,15.53,15.84,16.03,16.42,11.75,12.03,185400,265200,0
15,2019-05-10,2019-05-13,16.28,16.28,16.43,16.45,16.11,16.19,16.41,16.44,12.03,12.05,169600,156800,0
16,2019-05-17,2019-05-20,16.39,16.45,16.55,16.57,16.29,16.31,16.47,16.39,12.07,12.01,110500,253500,0
17,2019-05-31,2019-06-03,16.3,16.58,16.58,16.65,16.24,16.41,16.5,16.53,12.09,12.11,159800,312200,0
18,2019-06-07,2019-06-10,16.77,16.82,16.89,16.88,16.75,16.68,16.8,16.79,12.31,12.3,105000,100800,0
19,2019-06-14,2019-06-17,17.04,17.09,17.18,17.21,17.0,16.99,17.02,17.14,12.47,12.56,156100,183500,0
20,2019-06-21,2019-06-24,17.29,17.32,17.29,17.4,17.15,16.93,17.19,17.03,12.6,12.48,674400,274000,0
21,2019-06-28,2019-07-01,16.28,16.81,16.71,16.81,16.28,16.34,16.55,16.59,12.28,12.31,884300,218400,0
22,2019-07-05,2019-07-08,16.76,16.91,16.93,16.99,16.6,16.82,16.9,16.91,12.54,12.55,346100,152600,0
23,2019-07-12,2019-07-15,16.6,16.69,16.71,16.8,16.52,16.56,16.6,16.66,12.32,12.36,144300,342800,0
24,2019-07-19,2019-07-22,16.81,16.77,16.91,16.84,16.68,16.6,16.69,16.61,12.38,12.32,285600,136400,0
25,2019-07-26,2019-07-29,16.76,16.84,16.84,16.99,16.69,16.84,16.78,16.92,12.45,12.55,143000,124500,0
26,2019-08-02,2019-08-05,17.09,17.01,17.25,17.14,16.92,16.41,17.19,16.65,12.75,12.35,227400,281400,0
27,2019-08-09,2019-08-12,17.35,17.34,17.4,17.45,17.24,17.21,17.38,17.31,12.9,12.84,214700,91400,0
28,2019-08-16,2019-08-19,17.29,17.49,17.52,17.57,17.27,17.39,17.44,17.5,12.94,12.98,394600,211600,0
29,2019-08-23,2019-08-26,17.39,17.22,17.52,17.36,17.1,17.11,17.11,17.3,12.69,12.84,223800,287900,0
30,2019-09-06,2019-09-09,17.72,17.64,17.76,17.68,17.59,17.54,17.67,17.68,13.11,13.12,185600,141300,0
31,2019-09-13,2019-09-16,18.04,17.99,18.2,18.29,17.87,17.91,18.02,18.14,13.37,13.46,235300,194200,0
32,2019-09-20,2019-09-23,18.3,18.27,18.43,18.39,18.29,18.14,18.3,18.25,13.58,13.54,768600,408000,0
33,2019-09-27,2019-09-30,18.11,18.0,18.14,18.19,17.82,17.98,17.99,18.09,13.5,13.58,581600,382700,0
34,2019-10-04,2019-10-07,18.17,18.24,18.3,18.37,18.11,18.11,18.3,18.29,13.74,13.73,279700,288700,0
35,2019-10-11,2019-10-14,18.08,18.02,18.23,18.1,18.0,17.92,18.01,18.0,13.52,13.51,208400,164000,0
36,2019-10-18,2019-10-21,18.11,18.3,18.27,18.39,18.1,18.24,18.27,18.36,13.71,13.78,173900,155200,0
37,2019-10-25,2019-10-28,18.22,18.22,18.24,18.35,18.02,18.21,18.22,18.28,13.68,13.72,190400,210700,0
38,2019-11-01,2019-11-04,18.8,18.73,18.89,18.77,18.63,18.45,18.77,18.5,14.09,13.89,174800,239600,1
39,2019-11-08,2019-11-11,17.5,17.43,17.64,17.66,17.4,17.43,17.51,17.59,13.14,13.2,160500,164000,0
40,2019-11-15,2019-11-18,17.87,17.96,18.0,18.0,17.8,17.65,17.89,17.71,13.43,13.29,265200,141000,0
41,2019-11-22,2019-11-25,17.61,17.5,17.61,17.87,17.37,17.48,17.47,17.74,13.11,13.32,82800,201400,0
42,2019-11-29,2019-12-02,18.03,18.0,18.12,18.0,18.0,17.76,18.06,17.91,13.56,13.44,113400,236300,0
43,2019-12-06,2019-12-09,18.17,18.54,18.66,18.81,18.17,18.51,18.46,18.77,13.86,14.09,547100,417100,0
44,2019-12-13,2019-12-16,18.5,18.53,18.59,18.68,18.31,18.5,18.47,18.55,13.86,13.92,282000,380700,0
45,2019-12-20,2019-12-23,18.43,18.44,18.5,18.49,18.14,18.23,18.33,18.34,13.92,13.92,3564000,325000,0
46,2019-12-27,2019-12-30,18.0,18.12,18.18,18.18,17.92,17.99,18.15,18.18,13.78,13.8,230000,566400,0
47,2020-01-03,2020-01-06,17.88,18.12,18.29,18.4,17.88,18.11,18.18,18.2,13.8,13.82,315100,251300,0
48,2020-01-10,2020-01-13,18.1,18.2,18.24,18.41,18.06,18.12,18.21,18.4,13.82,13.97,211400,189300,0
49,2020-01-24,2020-01-27,19.15,19.0,19.43,19.23,19.03,18.95,19.11,19.0,14.51,14.42,220200,218300,0
50,2020-01-31,2020-02-03,18.56,18.4,18.64,18.74,18.24,18.37,18.34,18.63,13.92,14.14,281400,298400,0
51,2020-02-07,2020-02-10,18.68,18.35,18.7,18.63,18.32,18.32,18.38,18.52,13.95,14.06,173700,346000,0
52,2020-02-21,2020-02-24,18.63,18.63,18.88,18.68,18.61,18.43,18.84,18.46,14.3,14.01,347200,350700,0
53,2020-02-28,2020-03-02,17.05,16.83,17.2,17.4,16.46,16.73,16.76,17.3,12.72,13.13,769200,589100,0
54,2020-03-06,2020-03-09,17.5,16.84,17.88,17.0,17.26,15.34,17.86,15.37,13.56,11.67,395400,316000,1
55,2020-03-13,2020-03-16,12.24,11.36,12.79,11.72,11.4,7.94,12.77,8.27,9.69,6.28,542900,709900,0
56,2020-03-20,2020-03-23,9.19,8.18,9.69,8.97,8.01,7.52,8.2,8.72,6.23,6.62,788200,679400,0
