,Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close ,Monday_Close ,Friday_Adj Close ,Monday_Adj Close ,Friday_Volume,Monday_Volume,y
0,2019-01-04,2019-01-07,18.52,18.95,19.4,19.25,18.33,18.8,19.08,19.14,18.56,18.62,5500.0,17800.0,0
1,2019-01-11,2019-01-14,18.37,19.72,19.89,20.37,18.37,19.53,19.89,19.83,19.35,19.29,1800.0,14700.0,0
2,2019-01-25,2019-01-28,19.75,19.72,20.06,20.21,19.54,19.72,19.95,19.98,19.41,19.43,7300.0,17500.0,0
3,2019-02-01,2019-02-04,19.98,20.56,20.76,20.56,19.91,19.0,20.72,20.22,20.15,19.67,20700.0,8500.0,0
4,2019-02-08,2019-02-11,20.43,20.27,20.84,20.64,20.01,19.85,20.03,20.45,19.48,19.89,11900.0,11000.0,0
5,2019-02-22,2019-02-25,19.25,19.44,20.19,19.66,18.88,18.38,19.12,19.18,18.6,18.66,25100.0,17500.0,0
6,2019-03-01,2019-03-04,19.14,19.06,19.21,19.38,19.08,18.84,19.11,19.2,18.59,18.68,5400.0,4200.0,0
7,2019-03-08,2019-03-11,18.22,18.32,18.68,19.25,17.47,17.89,18.68,18.12,18.17,17.63,2200.0,15900.0,1
8,2019-03-15,2019-03-18,19.9,19.32,19.9,19.9,19.25,19.32,19.89,19.84,19.35,19.3,14600.0,13300.0,0
9,2019-03-22,2019-03-25,19.82,19.58,20.01,20.0,19.47,19.36,19.92,19.62,19.38,19.08,10100.0,11000.0,0
10,2019-03-29,2019-04-01,19.75,20.58,20.61,21.7,19.75,18.73,20.39,21.52,19.9,21.01,21400.0,18800.0,0
11,2019-04-05,2019-04-08,23.73,24.25,24.49,24.69,23.7,23.88,24.22,24.4,23.64,23.82,53000.0,41000.0,0
12,2019-04-12,2019-04-15,24.95,25.2,25.46,25.2,24.62,24.63,25.18,24.87,24.58,24.28,63200.0,23100.0,0
13,2019-04-26,2019-04-29,25.92,25.67,25.97,25.97,25.44,25.5,25.48,25.8,24.87,25.18,35500.0,44300.0,0
14,2019-05-03,2019-05-06,25.0,24.46,25.53,25.15,24.8,24.27,25.09,24.46,24.49,23.88,28400.0,34900.0,0
15,2019-05-10,2019-05-13,25.34,25.04,25.58,25.47,25.23,24.85,25.39,25.4,24.78,24.79,59800.0,47700.0,0
16,2019-05-17,2019-05-20,25.9,26.45,26.6,26.45,25.9,26.04,26.58,26.29,25.95,25.66,42400.0,17900.0,0
17,2019-05-31,2019-06-03,26.2,26.1,26.32,26.66,25.26,25.77,25.61,26.08,25.0,25.46,24100.0,88000.0,0
18,2019-06-07,2019-06-10,26.14,25.97,26.45,26.15,25.87,25.12,26.12,25.5,25.5,24.89,50600.0,90000.0,0
19,2019-06-14,2019-06-17,25.85,25.61,26.0,25.83,25.5,24.44,25.68,24.5,25.13,23.98,21400.0,41200.0,0
20,2019-06-21,2019-06-24,25.8,26.12,26.13,26.34,25.15,25.62,26.12,25.62,25.64,25.15,37600.0,48400.0,0
21,2019-06-28,2019-07-01,25.81,25.94,26.04,26.0,25.42,25.86,25.84,26.0,25.36,25.52,808500.0,101900.0,0
22,2019-07-05,2019-07-08,25.94,25.87,26.07,26.57,25.8,25.43,25.95,25.8,25.47,25.32,25400.0,142300.0,0
23,2019-07-12,2019-07-15,25.16,25.25,25.38,25.32,24.55,24.56,25.14,24.94,24.68,24.48,37400.0,86300.0,0
24,2019-07-19,2019-07-22,24.58,24.61,24.67,24.61,24.24,23.62,24.54,23.72,24.09,23.28,33300.0,43700.0,0
25,2019-07-26,2019-07-29,23.63,23.99,24.07,23.99,23.63,23.15,23.86,23.49,23.42,23.06,24800.0,124000.0,0
26,2019-08-02,2019-08-05,23.96,23.0,23.98,23.03,23.06,21.46,23.3,21.77,22.87,21.37,11600.0,24100.0,0
27,2019-08-09,2019-08-12,22.3,21.96,22.72,22.46,21.65,21.16,21.95,21.75,21.55,21.35,23600.0,45500.0,0
28,2019-08-16,2019-08-19,22.62,22.89,23.07,23.28,22.01,22.51,22.72,22.81,22.3,22.39,16000.0,25700.0,0
