,Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close ,Monday_Close ,Friday_Adj Close ,Monday_Adj Close ,Friday_Volume,Monday_Volume,y
0,2019-01-04,2019-01-07,39.49,40.74,40.88,41.32,39.49,40.5,40.78,40.69,28.21,28.15,195200,173500,0
1,2019-01-11,2019-01-14,43.02,43.0,43.5,43.66,42.77,42.82,43.48,43.6,30.08,30.16,401800,169500,0
2,2019-01-25,2019-01-28,43.87,43.11,44.0,43.58,43.24,43.01,43.58,43.35,30.14,29.99,257100,348200,0
3,2019-02-01,2019-02-04,44.41,44.61,45.08,46.54,44.3,44.61,45.0,46.5,31.13,32.16,267900,281900,0
4,2019-02-08,2019-02-11,46.4,46.0,46.56,46.03,45.76,45.54,46.16,45.56,31.93,31.51,129900,136500,0
5,2019-02-22,2019-02-25,46.95,48.13,48.35,48.48,46.71,47.88,47.53,48.2,32.88,33.34,850500,485200,0
6,2019-03-01,2019-03-04,48.55,48.12,48.55,48.3,47.38,47.75,47.95,48.27,33.17,33.39,290900,459900,0
7,2019-03-08,2019-03-11,48.27,47.52,48.34,48.61,47.03,47.52,47.38,48.32,32.77,33.42,170200,284500,1
8,2019-03-15,2019-03-18,51.0,51.34,51.53,52.01,50.78,50.7,51.1,52.01,35.35,35.98,882200,540200,0
9,2019-03-22,2019-03-25,53.89,51.97,54.16,52.56,51.6,51.46,51.96,51.72,35.94,35.77,398400,138600,0
10,2019-03-29,2019-04-01,51.34,51.63,51.34,52.17,50.72,50.89,51.06,51.11,35.32,35.35,298200,187400,0
11,2019-04-05,2019-04-08,53.37,54.3,54.58,55.4,53.06,54.04,54.33,55.31,37.82,38.5,353800,245100,0
12,2019-04-12,2019-04-15,54.51,53.57,54.51,54.48,53.7,52.21,53.78,52.48,37.44,36.53,213900,278600,0
13,2019-04-26,2019-04-29,52.86,52.82,52.86,52.94,52.19,51.7,52.67,51.95,36.67,36.17,222100,352200,0
14,2019-05-03,2019-05-06,49.55,47.08,49.56,48.5,48.38,47.08,48.6,48.3,33.83,33.62,542900,372300,0
15,2019-05-10,2019-05-13,48.99,49.02,50.19,49.47,48.88,47.55,49.9,47.72,34.74,33.22,334400,517300,0
16,2019-05-17,2019-05-20,46.52,46.03,46.78,46.55,46.01,45.69,46.14,45.84,32.12,31.91,238400,182300,0
17,2019-05-31,2019-06-03,46.17,47.23,47.1,47.23,45.67,45.73,46.97,46.13,32.7,32.11,243600,330400,0
18,2019-06-07,2019-06-10,48.62,48.74,49.03,49.41,48.32,48.63,48.51,48.75,33.77,33.94,111000,154600,0
19,2019-06-14,2019-06-17,48.99,48.52,48.99,48.75,47.85,48.0,48.59,48.08,33.83,33.47,163700,167000,0
20,2019-06-21,2019-06-24,50.67,50.88,50.94,51.77,50.26,50.56,50.78,51.57,35.35,35.9,579300,153600,0
21,2019-06-28,2019-07-01,51.05,51.9,51.46,51.9,50.87,51.0,51.04,51.12,35.76,35.82,216400,147200,0
22,2019-07-05,2019-07-08,50.62,50.89,51.14,51.14,50.34,50.49,51.01,50.56,35.74,35.43,134500,155800,0
23,2019-07-12,2019-07-15,51.66,51.62,51.8,52.26,51.39,51.24,51.45,51.96,36.05,36.41,185200,185600,0
24,2019-07-19,2019-07-22,51.68,52.36,52.53,52.99,51.49,51.84,52.51,51.87,36.79,36.35,185500,204600,0
25,2019-07-26,2019-07-29,51.39,50.86,51.5,50.86,50.75,50.14,51.01,50.4,35.74,35.32,118400,121700,0
26,2019-08-02,2019-08-05,47.66,47.62,48.95,47.73,47.51,46.34,48.65,46.39,34.09,32.51,201700,256900,0
