,Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close ,Monday_Close ,Friday_Adj Close ,Monday_Adj Close ,Friday_Volume,Monday_Volume,y
0,2019-01-04,2019-01-07,45.0,46.4,47.6,49.7,43.4,46.4,46.4,48.4,46.4,48.4,7010,15400,0
1,2019-01-11,2019-01-14,46.8,46.8,47.8,46.8,46.6,44.5,46.8,45.0,46.8,45.0,2120,25550,0
2,2019-01-25,2019-01-28,44.8,46.0,46.1,46.3,44.8,45.2,45.4,45.8,45.4,45.8,4040,8960,0
3,2019-02-01,2019-02-04,43.2,43.7,44.0,44.0,43.2,43.3,43.6,43.7,43.6,43.7,14200,9190,0
4,2019-02-08,2019-02-11,43.9,42.6,43.9,43.3,42.4,42.1,42.7,42.9,42.7,42.9,7760,2900,0
5,2019-02-22,2019-02-25,41.6,41.8,42.8,43.1,41.3,41.6,42.2,41.9,42.2,41.9,8520,8820,0
6,2019-03-01,2019-03-04,41.0,41.4,41.5,41.7,40.8,40.7,40.9,40.8,40.9,40.8,3680,10450,0
7,2019-03-08,2019-03-11,40.7,40.2,40.7,40.8,40.0,39.6,40.3,40.4,40.3,40.4,2580,35940,1
8,2019-03-15,2019-03-18,41.4,40.4,41.5,41.0,40.4,39.5,40.7,39.6,40.7,39.6,24970,17880,0
9,2019-03-22,2019-03-25,38.8,38.5,39.4,38.6,37.6,36.9,38.4,37.1,38.4,37.1,12620,6300,0
10,2019-03-29,2019-04-01,36.9,36.7,37.9,37.6,36.2,36.1,36.5,36.7,36.5,36.7,8570,44840,0
11,2019-04-05,2019-04-08,39.8,39.6,40.3,40.0,39.6,39.6,39.8,39.8,39.8,39.8,29400,4320,0
12,2019-04-12,2019-04-15,41.7,41.9,42.5,42.0,41.5,40.1,41.6,40.5,41.6,40.5,10870,8780,0
13,2019-04-26,2019-04-29,40.3,40.4,41.0,40.5,40.2,39.3,40.6,39.4,40.6,39.4,2400,6230,0
14,2019-05-03,2019-05-06,37.5,37.5,38.7,39.1,37.5,37.4,38.0,39.0,38.0,39.0,7400,8870,0
15,2019-05-10,2019-05-13,38.0,36.5,38.1,37.4,36.2,35.9,37.5,36.7,37.5,36.7,5430,5270,0
16,2019-05-17,2019-05-20,36.2,35.0,37.0,36.4,35.0,34.2,35.1,34.9,35.1,34.9,11070,9640,0
17,2019-05-31,2019-06-03,35.6,35.6,36.2,35.6,35.0,33.6,35.5,35.0,35.5,35.0,5680,6340,0
18,2019-06-07,2019-06-10,36.0,32.5,36.5,37.8,34.0,32.5,36.4,37.2,36.4,37.2,4510,16520,0
19,2019-06-14,2019-06-17,35.3,35.7,35.3,35.9,34.6,34.5,34.7,34.7,34.7,34.7,23420,48100,0
20,2019-06-21,2019-06-24,33.9,33.9,34.8,34.5,33.5,33.5,34.1,34.1,34.1,34.1,2950,24200,0
21,2019-06-28,2019-07-01,33.6,33.5,33.7,34.0,32.5,33.0,32.9,33.0,32.9,33.0,6890,3640,0
22,2019-07-05,2019-07-08,32.5,33.1,33.5,33.3,32.5,31.4,33.2,32.0,33.2,32.0,900,70200,0
23,2019-07-12,2019-07-15,28.6,29.4,31.8,30.2,26.8,28.5,29.5,29.9,29.5,29.9,65430,23300,0
24,2019-07-19,2019-07-22,28.5,28.2,29.5,29.2,28.0,28.2,28.3,28.5,28.3,28.5,11190,7250,0
25,2019-07-26,2019-07-29,28.9,30.0,30.1,30.5,28.9,29.7,30.0,30.0,30.0,30.0,6520,12190,0
26,2019-08-02,2019-08-05,29.3,29.1,29.8,29.1,28.5,28.5,29.6,28.8,29.6,28.8,2090,2590,0
27,2019-08-09,2019-08-12,30.3,29.9,31.2,30.7,29.5,29.4,30.2,30.0,30.2,30.0,7430,15110,0
28,2019-08-16,2019-08-19,30.4,28.6,30.4,29.6,28.7,28.3,29.3,28.9,29.3,28.9,2380,2710,0
29,2019-08-23,2019-08-26,28.8,28.5,28.8,28.7,27.8,27.9,28.5,28.1,28.5,28.1,3800,3010,0
30,2019-09-06,2019-09-09,29.1,29.6,29.9,29.7,29.1,29.0,29.6,29.1,29.6,29.1,980,1390,0
31,2019-09-13,2019-09-16,30.6,30.1,31.0,31.0,30.3,30.1,30.4,30.8,30.4,30.8,2330,3360,0
32,2019-09-20,2019-09-23,29.8,30.6,31.1,30.6,29.5,30.1,31.0,30.5,31.0,30.5,9170,3210,0
33,2019-09-27,2019-09-30,30.5,30.0,30.6,30.7,29.8,30.0,30.4,30.7,30.4,30.7,5140,310,0
34,2019-10-04,2019-10-07,29.1,29.0,30.0,29.4,28.5,29.0,29.4,29.2,29.4,29.2,8650,2300,0
35,2019-10-11,2019-10-14,29.0,28.6,29.3,29.0,28.2,28.1,28.9,28.8,28.9,28.8,4220,2380,0
36,2019-10-18,2019-10-21,29.6,30.0,30.0,30.1,29.6,28.6,29.6,28.6,29.6,28.6,15720,2170,0
37,2019-10-25,2019-10-28,28.2,28.0,28.6,28.5,27.6,27.5,27.9,28.0,27.9,28.0,2130,7690,0
38,2019-11-01,2019-11-04,30.0,29.5,30.1,30.4,29.6,29.4,29.6,30.4,29.6,30.4,2960,3210,1
39,2019-11-08,2019-11-11,30.7,30.8,31.2,31.3,30.5,30.4,31.2,31.1,31.2,31.1,1220,1530,0
40,2019-11-15,2019-11-18,31.0,31.7,31.8,31.7,31.0,30.7,31.6,31.0,31.6,31.0,2280,3860,0
41,2019-11-22,2019-11-25,30.4,30.5,30.8,31.5,30.0,30.3,30.3,31.5,30.3,31.5,2710,1680,0
42,2019-11-29,2019-12-02,31.5,31.8,31.6,32.0,31.2,31.7,31.6,31.9,31.6,31.9,1400,2770,0
43,2019-12-06,2019-12-09,32.0,30.9,32.0,31.3,30.7,30.7,30.9,30.7,30.9,30.7,36160,14720,0
44,2019-12-13,2019-12-16,30.4,29.9,30.9,31.2,29.3,29.7,30.7,30.9,30.7,30.9,3620,8770,0
45,2019-12-20,2019-12-23,30.9,31.0,31.2,31.0,30.7,29.7,31.0,29.8,31.0,29.8,1300,6240,0
46,2019-12-27,2019-12-30,30.6,31.1,31.1,31.3,30.4,30.7,31.0,30.9,31.0,30.9,12460,13750,0
