,Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close ,Monday_Close ,Friday_Adj Close ,Monday_Adj Close ,Friday_Volume,Monday_Volume,y
0,2019-01-04,2019-01-07,93.13,94.94,95.79,98.59,92.39,94.94,94.93,97.06,94.93,97.06,256061,224696,0
1,2019-01-11,2019-01-14,99.66,99.12,100.62,99.57,98.85,97.33,99.8,97.57,99.8,97.57,240431,194380,0
2,2019-01-25,2019-01-28,100.4,100.8,101.97,102.38,100.4,100.8,101.8,101.95,101.8,101.95,97452,131020,0
3,2019-02-01,2019-02-04,106.06,105.29,106.17,105.45,104.38,103.97,105.39,105.45,105.39,105.45,165008,170358,0
4,2019-02-08,2019-02-11,104.21,104.91,105.07,105.7,103.24,104.38,104.61,105.25,104.61,105.25,90214,169099,0
5,2019-02-22,2019-02-25,109.56,110.58,110.55,111.48,109.52,109.5,110.54,109.56,110.54,109.56,98501,277565,0
6,2019-03-01,2019-03-04,106.49,108.16,107.86,108.47,105.73,106.23,107.6,108.25,107.6,108.25,281132,267075,0
7,2019-03-08,2019-03-11,102.72,102.14,103.07,102.38,101.34,100.94,102.04,101.49,102.04,101.49,144447,208122,1
8,2019-03-15,2019-03-18,103.77,105.63,105.2,107.09,103.64,105.41,105.2,106.79,105.2,106.79,242319,172875,0
9,2019-03-22,2019-03-25,105.45,102.4,105.62,103.28,102.61,101.08,102.76,102.67,102.76,102.67,164378,117383,0
10,2019-03-29,2019-04-01,105.15,105.11,106.18,105.58,104.24,104.46,104.86,105.01,104.86,105.01,150007,239172,0
11,2019-04-05,2019-04-08,106.37,107.72,107.94,107.97,106.23,107.11,107.77,107.42,107.77,107.42,137734,72906,0
12,2019-04-12,2019-04-15,106.85,107.27,107.27,107.96,106.03,107.03,107.24,107.78,107.24,107.78,95564,147280,0
13,2019-04-26,2019-04-29,104.25,105.08,105.67,105.82,103.74,104.92,105.62,105.22,105.62,105.22,64933,122943,0
14,2019-05-03,2019-05-06,105.68,105.0,107.18,107.71,105.5,105.0,106.77,106.84,106.77,106.84,200779,146545,0
15,2019-05-10,2019-05-13,102.28,100.91,103.39,102.14,101.44,100.83,102.84,101.93,102.84,101.93,104480,232039,0
16,2019-05-17,2019-05-20,104.86,103.27,105.79,103.89,103.2,100.71,103.7,100.83,103.7,100.83,131650,114341,0
17,2019-05-31,2019-06-03,98.43,98.03,98.89,98.95,96.48,96.07,98.04,96.67,98.04,96.67,261621,187456,0
18,2019-06-07,2019-06-10,98.26,100.4,99.9,100.76,97.97,99.22,99.72,99.5,99.72,99.5,118222,123153,0
19,2019-06-14,2019-06-17,97.14,96.46,98.05,97.22,96.18,96.43,96.69,96.51,96.69,96.51,85074,96298,0
20,2019-06-21,2019-06-24,97.53,97.58,97.85,97.58,96.97,92.76,97.69,92.88,97.69,92.88,191023,310924,0
21,2019-06-28,2019-07-01,123.57,118.27,124.64,121.67,116.13,116.74,118.06,121.33,118.06,121.33,1993520,713845,0
22,2019-07-05,2019-07-08,122.31,124.12,124.27,124.18,122.29,122.09,124.0,123.02,124.0,123.02,317532,284384,0
23,2019-07-12,2019-07-15,123.43,123.49,124.31,123.95,123.3,122.56,123.56,123.56,123.56,123.56,212213,241794,0
24,2019-07-19,2019-07-22,124.71,124.31,125.59,125.1,123.69,123.78,124.21,124.4,124.21,124.4,262775,149168,0
25,2019-07-26,2019-07-29,125.36,125.84,126.42,126.28,124.2,123.63,126.22,124.58,126.22,124.58,148119,232249,0
26,2019-08-02,2019-08-05,125.55,122.86,126.1,123.08,123.65,119.46,125.13,121.99,125.13,121.99,152000,413516,0
27,2019-08-09,2019-08-12,127.55,125.24,127.72,125.59,124.07,121.19,126.74,122.95,126.74,122.95,134062,185778,0
28,2019-08-16,2019-08-19,122.47,124.82,124.08,124.82,122.47,120.25,123.47,123.98,123.47,123.98,202457,287531,0
29,2019-08-23,2019-08-26,123.86,122.14,124.59,122.14,120.61,118.7,120.98,119.38,120.98,119.38,190918,318372,0
30,2019-09-06,2019-09-09,122.07,121.13,122.7,123.85,120.71,121.13,121.15,122.87,121.15,122.87,115285,179169,0
31,2019-09-13,2019-09-16,126.8,123.8,127.88,125.97,124.18,123.62,124.18,124.6,124.18,124.6,205814,129342,0
32,2019-09-20,2019-09-23,125.1,123.99,126.68,125.99,123.81,123.54,124.04,125.48,124.04,125.48,409425,267285,0
33,2019-09-27,2019-09-30,123.26,122.9,123.99,124.83,121.63,122.03,123.17,123.55,123.17,123.55,132803,158714,0
34,2019-10-04,2019-10-07,121.43,120.03,121.82,120.21,119.19,118.56,120.1,118.74,120.1,118.74,134062,211269,0
35,2019-10-11,2019-10-14,116.36,116.3,118.0,117.28,115.84,115.51,116.61,117.24,116.61,117.24,151790,143189,0
36,2019-10-18,2019-10-21,119.5,119.87,121.2,122.78,118.84,119.87,120.05,122.38,120.05,122.38,160497,270432,0
37,2019-10-25,2019-10-28,105.85,106.75,107.03,108.27,105.06,106.62,106.41,107.44,106.41,107.44,320470,244627,0
38,2019-11-01,2019-11-04,107.2,106.25,107.47,106.37,105.33,105.03,106.22,105.9,106.22,105.9,225535,189554,1
39,2019-11-08,2019-11-11,101.01,102.45,103.43,104.6,100.91,102.1,102.98,102.58,102.98,102.58,419495,378374,0
40,2019-11-15,2019-11-18,104.71,104.82,105.01,104.87,104.42,102.3,104.76,102.54,104.76,102.54,275153,213576,0
41,2019-11-22,2019-11-25,103.34,102.62,103.85,104.15,102.6,101.94,103.11,103.48,103.11,103.48,164378,206758,0
42,2019-11-29,2019-12-02,105.51,105.21,106.09,109.94,104.81,104.88,105.25,109.63,105.25,109.63,77206,1594165,0
43,2019-12-06,2019-12-09,108.49,109.82,110.23,110.18,108.27,109.49,109.82,109.83,109.82,109.83,181897,223122,0
44,2019-12-13,2019-12-16,111.05,112.92,112.55,114.96,110.11,112.49,112.19,114.63,112.19,114.63,248298,402292,0
45,2019-12-20,2019-12-23,117.68,118.2,118.08,118.53,116.32,117.72,117.85,118.26,117.85,118.26,385298,290678,0
46,2019-12-27,2019-12-30,119.45,119.64,119.89,120.63,118.38,119.04,119.36,120.6,119.36,120.6,201828,152210,0
47,2020-01-03,2020-01-06,116.94,117.57,118.51,118.79,116.21,117.07,117.85,118.27,117.85,118.27,151790,350891,0
48,2020-01-10,2020-01-13,114.79,113.09,114.79,116.58,112.11,112.5,113.09,116.11,113.09,116.11,263299,439636,0
49,2020-01-24,2020-01-27,118.2,116.68,118.86,118.03,117.48,116.66,118.09,117.64,118.09,117.64,137314,135950,0
50,2020-01-31,2020-02-03,117.45,116.24,117.45,117.38,115.29,115.82,116.0,116.22,116.0,116.22,103327,132699,0
51,2020-02-07,2020-02-10,117.54,118.67,118.94,119.99,117.4,118.47,118.61,119.9,118.61,119.9,239277,218926,0
52,2020-02-21,2020-02-24,122.98,120.56,123.35,120.69,121.46,119.32,122.5,120.02,122.5,120.02,178645,148224,0
53,2020-02-28,2020-03-02,104.3,103.03,104.3,105.52,98.56,100.86,102.84,105.19,102.84,105.19,400718,278300,0
54,2020-03-06,2020-03-09,102.35,94.0,103.15,94.0,97.37,84.74,99.59,85.46,99.59,85.46,219451,373864,1
55,2020-03-13,2020-03-16,77.9,69.59,79.23,71.16,71.53,62.62,79.23,62.76,79.23,62.76,449287,444252,0
56,2020-03-20,2020-03-23,44.38,38.5,44.87,38.5,37.54,33.46,38.53,35.69,38.53,35.69,781295,895426,0
57,2020-03-27,2020-03-30,47.28,53.73,55.14,55.73,44.74,49.84,53.01,52.86,53.01,52.86,1807742,681326,0
58,2020-04-03,2020-04-06,43.85,44.88,46.17,49.69,40.76,44.29,41.89,48.27,41.89,48.27,801751,797135,0
59,2020-04-17,2020-04-20,51.35,48.2,52.8,49.12,48.91,46.73,49.56,47.25,49.56,47.25,608105,471106,0
60,2020-04-24,2020-04-27,49.05,47.76,49.08,50.55,46.34,47.76,47.75,50.13,47.75,50.13,312497,610308,0
61,2020-05-01,2020-05-04,49.58,48.93,50.11,50.08,47.33,47.38,49.57,49.97,49.57,49.97,623945,684263,0
62,2020-05-08,2020-05-11,51.52,51.18,53.33,51.59,51.02,49.32,52.15,49.85,52.15,49.85,521668,518730,0
63,2020-05-15,2020-05-18,41.52,43.06,41.52,46.14,40.07,43.03,40.59,45.86,40.59,45.86,511073,663912,0
64,2020-05-29,2020-06-01,48.38,48.5,49.79,50.18,47.92,48.16,48.28,49.07,48.28,49.07,571810,437328,0
65,2020-06-05,2020-06-08,63.65,62.92,65.26,63.66,58.43,60.55,58.95,63.49,58.95,63.49,1335482,810457,0
66,2020-06-12,2020-06-15,57.84,53.21,58.12,57.42,53.99,52.47,55.5,56.22,55.5,56.22,657828,511073,0
67,2020-06-19,2020-06-22,55.82,52.43,56.17,53.26,52.45,51.01,52.45,52.72,52.45,52.72,634225,554921,0
68,2020-06-26,2020-06-29,48.6,48.27,48.76,50.24,46.74,47.13,48.06,50.2,48.06,50.2,820318,409949,0
69,2020-07-10,2020-07-13,45.75,47.8,47.49,49.9,45.36,46.75,47.19,49.15,47.19,49.15,459357,795771,0
70,2020-07-17,2020-07-20,49.92,50.84,50.8,51.38,49.57,49.48,50.72,50.26,50.72,50.26,414355,450965,0
71,2020-07-24,2020-07-27,51.55,50.82,51.64,51.33,50.43,49.4,50.88,51.31,50.88,51.31,205919,299070,0
72,2020-07-31,2020-08-03,50.86,51.13,50.86,51.13,49.88,49.76,50.71,50.63,50.71,50.63,331904,556809,0
73,2020-08-07,2020-08-10,52.23,52.59,52.68,54.67,51.13,52.47,52.4,54.55,52.4,54.55,296657,453483,0
74,2020-08-14,2020-08-17,54.07,54.53,55.84,54.53,53.86,53.0,54.71,53.54,54.71,53.54,170987,271901,0
75,2020-08-21,2020-08-24,53.38,53.23,53.72,56.01,52.14,52.96,52.5,55.38,52.5,55.38,345016,537508,0
76,2020-08-28,2020-08-31,56.84,57.92,58.66,58.44,56.41,55.56,58.31,56.35,58.31,56.35,232668,336205,0
77,2020-09-11,2020-09-14,56.81,56.65,56.98,59.29,54.99,56.65,56.35,58.79,56.35,58.79,393585,656989,0
78,2020-09-18,2020-09-21,58.19,55.64,58.21,56.18,56.43,52.91,57.25,53.57,57.25,53.57,690976,646184,0
79,2020-09-25,2020-09-28,53.75,55.29,54.98,57.15,53.6,55.24,54.97,55.48,54.97,55.48,231724,378374,0
80,2020-10-02,2020-10-05,55.6,58.9,58.94,58.9,55.52,56.83,58.25,57.7,58.25,57.7,581880,394319,0
81,2020-10-09,2020-10-12,60.04,59.62,61.12,60.14,58.51,58.85,59.66,59.91,59.66,59.91,448657,247144,0
82,2020-10-16,2020-10-19,59.88,60.21,60.86,60.87,59.58,58.57,59.9,58.92,59.9,58.92,229731,252075,0
83,2020-10-23,2020-10-26,62.31,60.76,62.8,61.01,60.88,59.33,61.4,60.02,61.4,60.02,153783,392011,0
84,2020-10-30,2020-11-02,59.07,60.01,59.7,61.08,57.4,59.27,59.29,60.82,59.29,60.82,256061,235920,1
85,2020-11-06,2020-11-09,64.27,67.4,65.09,69.3,61.94,64.77,62.11,64.98,62.11,64.98,304525,838256,0
86,2020-11-13,2020-11-16,65.0,68.17,66.33,69.59,64.84,67.27,66.13,67.93,66.13,67.93,497541,475092,0
87,2020-11-20,2020-11-23,68.11,69.43,69.18,70.69,67.76,68.67,68.65,70.35,68.65,70.35,247984,628246,0
88,2020-11-27,2020-11-30,70.9,69.78,71.1,69.8,69.6,69.0,70.08,69.33,70.08,69.33,142035,314176,0
89,2020-12-04,2020-12-07,74.3,74.68,75.29,75.27,73.7,73.47,74.58,73.87,74.58,73.87,327393,343862,0
90,2020-12-11,2020-12-14,74.37,74.83,74.73,75.97,73.33,74.29,73.98,74.6,73.98,74.6,211793,326764,0
91,2020-12-18,2020-12-21,77.4,75.88,77.96,76.7,76.82,74.84,77.38,76.32,77.38,76.32,578628,541074,0
92,2021-01-08,2021-01-11,76.95,78.07,77.96,79.06,75.55,76.45,77.08,78.07,77.08,78.07,523871,589643,0
93,2021-01-22,2021-01-25,83.4,83.98,84.68,85.56,82.71,83.32,84.55,85.21,84.55,85.21,407746,532892,0
94,2021-01-29,2021-02-01,84.12,82.86,84.88,84.7,81.8,81.29,82.14,84.6,82.14,84.6,364632,278405,0
95,2021-02-05,2021-02-08,90.02,87.89,90.26,90.53,87.42,87.7,87.85,90.05,87.85,90.05,566250,448448,0
96,2021-02-19,2021-02-22,93.64,94.35,95.22,96.16,93.47,93.79,94.86,95.18,94.86,95.18,217143,245256,0
97,2021-02-26,2021-03-01,90.55,92.32,92.92,94.0,89.01,91.57,90.44,91.97,90.44,91.97,464287,307357,0
98,2021-03-05,2021-03-08,88.46,88.16,88.46,92.02,83.41,87.52,87.98,91.33,87.98,91.33,438587,242843,0
99,2021-03-12,2021-03-15,92.78,92.85,93.7,95.3,92.25,91.4,93.0,94.61,93.0,94.61,121159,148643,1
100,2021-03-19,2021-03-22,92.16,94.46,94.28,94.46,89.98,92.71,93.71,92.98,93.71,92.98,351520,316169,0
101,2021-03-26,2021-03-29,89.7,89.76,90.38,91.33,88.67,88.27,90.23,88.53,90.23,88.53,170567,188400,0
102,2021-04-09,2021-04-12,94.52,95.21,95.43,95.85,94.43,93.99,95.27,95.3,95.27,95.3,235081,224066,0
103,2021-04-16,2021-04-19,101.99,102.0,102.75,102.0,101.56,100.62,102.32,101.2,102.32,101.2,205604,200359,0
104,2021-04-23,2021-04-26,100.1,101.55,101.48,101.76,99.13,100.74,100.98,101.22,100.98,101.22,148958,144133,0
105,2021-04-30,2021-05-03,101.8,103.59,103.42,104.69,101.54,102.02,102.9,103.09,102.9,103.09,157665,239801,0
106,2021-05-07,2021-05-10,103.78,105.68,106.0,107.91,103.45,104.44,105.56,104.65,105.56,104.65,185673,249137,0
107,2021-05-14,2021-05-17,96.68,98.92,100.0,99.17,96.6,96.8,99.82,98.82,99.82,98.82,231304,173714,0
108,2021-05-21,2021-05-24,99.85,100.77,100.2,101.51,98.92,100.26,100.15,100.51,100.15,100.51,130076,144867,0
109,2021-06-04,2021-06-07,102.15,102.82,102.98,102.92,101.11,101.37,102.48,101.95,102.48,101.95,274733,220710,0
110,2021-06-11,2021-06-14,100.86,100.29,101.36,100.55,99.09,98.23,99.99,98.7,99.99,98.7,180743,280293,0
111,2021-06-18,2021-06-21,95.64,95.5,97.04,98.75,94.61,95.37,94.68,98.61,94.68,98.61,364003,209800,0
112,2021-06-25,2021-06-28,95.24,94.69,95.29,94.85,94.17,92.03,94.94,93.91,94.94,93.91,431139,231724,0
113,2021-07-09,2021-07-12,89.57,90.22,91.22,90.53,87.86,88.51,91.02,88.89,91.02,88.89,482015,210220,0
114,2021-07-16,2021-07-19,87.27,82.41,87.68,83.98,84.3,81.4,84.39,82.41,84.39,82.41,175498,264033,0
115,2021-07-23,2021-07-26,86.53,86.63,87.42,87.38,85.75,85.81,86.83,86.36,86.83,86.36,99970,140986,0
116,2021-07-30,2021-08-02,88.01,88.33,89.83,90.56,87.53,86.75,88.38,87.06,88.38,87.06,262355,278405,0
117,2021-08-06,2021-08-09,88.79,89.05,89.78,89.05,87.3,88.0,89.34,88.33,89.34,88.33,167211,193121,0
118,2021-08-13,2021-08-16,87.87,85.64,87.9,86.7,86.22,84.99,86.5,85.88,86.5,85.88,113502,136999,0
119,2021-08-20,2021-08-23,81.45,84.54,84.37,85.4,81.25,83.88,83.51,85.24,83.51,85.24,152839,160812,0
120,2021-08-27,2021-08-30,86.52,88.22,88.71,88.22,86.52,85.6,88.24,86.77,88.24,86.77,144972,220290,0
121,2021-09-10,2021-09-13,86.24,84.19,86.24,85.61,83.57,83.66,83.76,85.1,83.76,85.1,157035,183051,0
122,2021-09-17,2021-09-20,84.49,82.22,85.71,83.37,83.03,81.71,83.61,83.17,83.61,83.17,673038,266866,0
123,2021-09-24,2021-09-27,85.02,83.96,85.11,86.36,83.78,83.76,83.81,84.88,83.81,84.88,251760,331904,0
124,2021-10-01,2021-10-04,84.2,83.98,84.63,85.42,82.94,83.95,84.41,84.46,84.41,84.46,184414,120845,0
125,2021-10-08,2021-10-11,84.13,84.6,84.83,85.45,83.96,84.17,84.19,84.84,84.19,84.84,147070,113187,0
126,2021-10-15,2021-10-18,86.26,86.12,87.3,87.25,86.26,85.41,86.78,86.84,86.78,86.84,192911,131230,0
127,2021-10-22,2021-10-25,88.47,88.26,89.69,89.04,88.29,87.61,88.49,87.73,88.49,87.73,134587,167525,0
128,2021-10-29,2021-11-01,84.41,83.3,84.59,84.64,82.72,83.07,83.06,83.6,83.06,83.6,231304,305993,0
129,2021-11-05,2021-11-08,86.49,91.27,91.35,91.47,86.25,88.06,90.73,90.18,90.73,90.18,216619,214101,1
130,2021-11-12,2021-11-15,88.66,89.26,89.13,89.26,87.64,88.09,88.72,88.85,88.72,88.85,102173,111614,0
131,2021-11-19,2021-11-22,86.69,87.41,87.65,88.28,85.74,86.59,87.01,87.42,87.01,87.42,125775,134062,0
132,2021-11-26,2021-11-29,85.33,84.7,85.75,84.84,82.62,82.63,83.82,83.19,83.82,83.19,144342,156196,0
133,2021-12-03,2021-12-06,86.32,85.56,86.89,91.31,84.33,85.38,84.72,89.42,84.72,89.42,174973,301273,0
134,2021-12-10,2021-12-13,89.83,89.51,90.64,90.07,89.07,88.69,89.95,88.79,89.95,88.79,175603,216409,0
135,2021-12-17,2021-12-20,86.75,85.06,88.31,86.09,85.96,84.13,86.47,85.44,86.47,85.44,387396,324246,0
136,2021-12-31,2022-01-03,95.65,97.46,97.92,98.3,95.65,96.12,97.03,97.39,97.03,97.39,202457,315329,0
137,2022-01-07,2022-01-10,95.33,96.93,97.36,96.93,95.33,95.13,96.65,95.61,96.65,95.61,345855,378479,0
