,Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close ,Monday_Close ,Friday_Adj Close ,Monday_Adj Close ,Friday_Volume,Monday_Volume,y
0,2019-01-04,2019-01-07,15.02,14.9,15.02,15.0,14.79,14.9,14.9,14.94,9.61,9.63,13800,15600,0
1,2019-01-11,2019-01-14,15.22,15.39,15.39,15.5,15.02,14.95,15.39,15.08,9.92,9.72,55700,85400,0
2,2019-01-25,2019-01-28,15.02,14.88,15.1,14.97,14.96,14.8,14.96,14.84,9.65,9.57,19700,44600,0
3,2019-02-01,2019-02-04,15.2,15.43,15.45,15.45,15.19,15.2,15.36,15.45,9.9,9.96,31100,31400,0
4,2019-02-08,2019-02-11,15.22,15.49,15.49,15.49,15.22,15.35,15.49,15.47,9.99,9.97,40000,3300,0
5,2019-02-22,2019-02-25,15.77,16.5,16.72,16.6,15.76,16.24,16.63,16.6,10.72,10.7,175400,69600,0
6,2019-03-01,2019-03-04,15.82,15.89,15.94,15.97,15.72,15.82,15.81,15.83,10.19,10.21,11900,11500,0
7,2019-03-08,2019-03-11,15.91,15.97,16.13,16.08,15.91,15.88,16.1,15.92,10.38,10.26,7400,17800,1
8,2019-03-15,2019-03-18,16.15,16.35,16.45,16.43,16.15,16.05,16.45,16.05,10.61,10.35,13200,32600,0
9,2019-03-22,2019-03-25,15.87,15.68,15.9,15.89,15.57,15.57,15.68,15.58,10.11,10.05,21000,20300,0
10,2019-03-29,2019-04-01,15.4,15.58,15.54,15.58,15.38,15.35,15.46,15.55,9.97,10.03,17200,20400,0
11,2019-04-05,2019-04-08,15.37,15.4,15.47,15.48,15.31,15.32,15.32,15.32,9.88,9.88,14200,15900,0
12,2019-04-12,2019-04-15,15.4,15.44,15.59,15.48,15.39,15.38,15.39,15.4,9.92,9.93,29100,15900,0
13,2019-04-26,2019-04-29,15.8,16.14,15.85,16.14,15.8,15.8,15.82,15.8,10.2,10.19,4600,12900,0
