,Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close ,Monday_Close ,Friday_Adj Close ,Monday_Adj Close ,Friday_Volume,Monday_Volume,y
0,2019-01-04,2019-01-07,146.77,150.52,150.61,152.06,146.76,148.28,150.53,151.57,133.3,134.22,1988500,1787400,0
1,2019-01-11,2019-01-14,160.49,162.33,163.58,164.39,159.85,161.61,163.58,163.72,144.85,144.98,2054100,1529100,0
2,2019-01-25,2019-01-28,161.0,163.96,167.83,166.15,160.19,162.73,165.12,165.79,146.22,146.81,4409300,1613100,0
3,2019-02-01,2019-02-04,167.5,169.14,169.8,170.04,166.98,168.12,169.53,169.95,150.9,151.27,1670400,1654700,0
4,2019-02-08,2019-02-11,169.07,174.98,171.57,180.42,168.89,174.54,171.46,176.95,152.61,157.5,2037000,4588800,0
5,2019-02-22,2019-02-25,183.23,183.59,183.99,183.71,181.71,181.29,183.3,181.41,163.15,161.47,1259900,1563600,0
6,2019-03-01,2019-03-04,179.91,180.11,180.8,181.96,177.91,178.19,178.87,179.8,159.21,160.04,1549200,1611400,0
7,2019-03-08,2019-03-11,177.31,176.67,177.52,181.04,174.23,176.12,176.78,180.84,157.35,160.96,1125500,1312700,1
8,2019-03-15,2019-03-18,179.95,179.32,181.6,182.73,179.17,179.23,179.52,182.53,159.79,162.47,3432600,1541300,0
9,2019-03-22,2019-03-25,180.21,177.6,180.53,181.72,177.67,177.42,177.94,179.81,158.38,160.05,1021600,1198900,0
10,2019-03-29,2019-04-01,188.03,190.0,188.49,193.78,186.46,189.0,186.89,193.54,166.35,172.27,1949600,2188100,0
11,2019-04-05,2019-04-08,191.46,192.4,193.12,194.12,191.24,191.56,192.19,194.03,171.06,172.7,1366800,929900,0
12,2019-04-12,2019-04-15,194.39,195.72,196.57,196.49,194.28,193.6,196.15,193.72,174.59,172.43,1044100,859800,0
13,2019-04-26,2019-04-29,203.18,203.75,204.22,204.04,202.96,202.28,204.14,202.84,181.7,180.54,922000,1115900,0
14,2019-05-03,2019-05-06,201.83,201.63,205.42,204.91,201.83,200.57,205.06,204.26,183.31,182.59,772300,947400,0
15,2019-05-10,2019-05-13,201.36,199.5,203.29,199.69,197.74,194.11,202.59,196.81,181.1,175.93,1057300,2009100,0
16,2019-05-17,2019-05-20,202.75,202.72,205.16,205.13,202.47,202.53,203.52,204.48,181.93,182.79,1242100,1040400,0
17,2019-05-31,2019-06-03,196.1,195.13,197.47,198.19,194.17,194.45,195.14,196.34,174.44,175.51,1494200,1187100,0
18,2019-06-07,2019-06-10,201.01,204.66,203.68,207.57,200.62,201.16,203.04,201.41,181.5,180.04,1164700,1394500,0
19,2019-06-14,2019-06-17,196.31,194.45,196.99,194.65,193.33,190.65,194.74,190.77,174.08,170.53,2273700,2170600,0
20,2019-06-21,2019-06-24,196.51,196.96,199.91,197.45,195.72,193.07,197.19,193.25,176.27,172.75,1956700,1467800,0
21,2019-06-28,2019-07-01,194.22,200.93,199.37,202.59,193.68,199.99,199.33,200.92,178.18,179.61,2947900,1757800,0
22,2019-07-05,2019-07-08,201.28,199.48,202.74,200.25,198.53,197.93,200.94,198.94,179.62,177.84,913300,949500,0
23,2019-07-12,2019-07-15,202.86,205.4,206.43,205.56,202.26,203.05,205.9,204.11,184.06,182.46,1531800,1309600,0
24,2019-07-19,2019-07-22,197.0,195.09,198.84,198.17,194.78,195.09,195.19,196.3,174.48,175.48,1517900,1376500,0
25,2019-07-26,2019-07-29,188.57,189.83,191.08,192.27,187.4,189.76,189.99,191.99,169.84,171.62,1957200,1621900,0
26,2019-08-02,2019-08-05,184.23,179.0,184.81,180.83,181.38,178.44,182.02,179.93,163.54,161.66,2554600,3278400,0
27,2019-08-09,2019-08-12,180.0,176.29,180.29,176.51,176.37,173.39,177.7,174.53,159.66,156.81,1733800,1799600,0
28,2019-08-16,2019-08-19,171.31,175.86,173.94,177.63,171.31,173.91,173.0,174.37,155.43,156.66,1325100,1249000,0
29,2019-08-23,2019-08-26,173.01,171.28,173.76,172.26,168.63,169.92,169.28,171.35,152.09,153.95,1898200,1561200,0
30,2019-09-06,2019-09-09,176.75,175.56,177.54,178.18,174.93,175.2,175.06,177.32,157.28,159.31,876300,1225000,0
31,2019-09-13,2019-09-16,179.54,180.33,182.7,184.28,179.22,179.42,182.19,182.28,163.69,163.77,1771400,1329300,0
32,2019-09-20,2019-09-23,183.97,178.77,184.8,180.26,178.8,177.05,180.49,179.51,162.16,161.28,2878600,1197300,0
33,2019-09-27,2019-09-30,183.45,182.04,184.06,182.65,180.54,179.2,180.87,179.66,162.5,161.42,1182300,1995700,0
34,2019-10-04,2019-10-07,171.5,172.11,172.88,173.3,170.7,171.01,172.82,171.67,155.27,154.24,1343600,1118700,0
35,2019-10-11,2019-10-14,173.92,177.36,179.6,178.64,173.92,176.16,178.5,178.54,160.38,160.41,1884200,1191600,0
36,2019-10-18,2019-10-21,183.2,182.99,184.04,186.38,180.72,182.99,181.91,186.19,163.44,167.28,1593200,1876700,0
37,2019-10-25,2019-10-28,183.64,188.38,188.5,190.68,182.8,186.36,188.25,187.76,169.14,168.69,1619000,1625500,0
38,2019-11-01,2019-11-04,183.6,191.3,189.93,193.26,182.98,189.35,189.92,192.64,171.51,173.96,1953700,2760700,1
39,2019-11-08,2019-11-11,195.3,193.94,196.5,194.45,194.48,192.39,195.44,193.98,176.49,175.17,895500,883200,0
40,2019-11-15,2019-11-18,192.67,190.56,193.14,193.5,190.75,189.1,191.07,193.37,172.55,174.62,963900,1265000,0
41,2019-11-22,2019-11-25,190.89,193.72,193.35,197.0,190.32,192.94,193.18,196.95,174.45,177.86,1042400,1447900,0
42,2019-11-29,2019-12-02,194.65,193.74,194.73,194.12,192.74,189.75,193.5,190.07,174.74,171.64,948200,1377500,0
43,2019-12-06,2019-12-09,190.59,190.02,192.25,190.62,189.51,188.23,190.93,188.96,172.42,170.64,1281300,1156000,0
44,2019-12-13,2019-12-16,189.57,192.79,191.91,193.64,188.44,190.09,190.07,190.56,171.64,172.08,1648600,1297000,0
45,2019-12-20,2019-12-23,193.54,194.04,194.94,194.94,190.92,193.37,194.59,194.29,175.72,175.45,2213200,1914100,0
46,2019-12-27,2019-12-30,194.88,195.2,195.58,195.5,194.01,192.71,195.2,193.61,176.28,174.84,490800,755200,0
47,2020-01-03,2020-01-06,193.19,195.17,196.59,196.17,193.19,194.2,196.44,195.93,177.39,176.93,2003700,2076800,0
48,2020-01-10,2020-01-13,198.91,197.21,200.72,200.38,197.23,196.74,197.55,200.28,178.4,180.86,1459400,1418400,0
49,2020-01-24,2020-01-27,208.0,203.26,209.9,205.83,206.91,202.6,207.86,202.66,187.71,183.01,1129400,1314100,0
50,2020-01-31,2020-02-03,212.26,209.92,212.75,210.4,207.52,206.73,208.21,206.99,188.02,186.92,2163300,1971800,0
51,2020-02-07,2020-02-10,211.34,208.92,212.1,209.79,208.98,207.66,210.18,209.25,190.64,189.8,2260000,2338300,0
52,2020-02-21,2020-02-24,210.79,201.28,211.61,203.66,206.8,200.0,208.05,203.0,188.71,184.13,1363400,1557300,0
53,2020-02-28,2020-03-02,179.21,183.74,182.58,184.62,176.4,177.49,182.35,182.59,165.4,165.62,3173500,2540600,0
54,2020-03-06,2020-03-09,168.86,159.46,175.25,164.25,168.04,151.37,174.6,154.5,158.37,140.14,2163600,3101100,1
55,2020-03-13,2020-03-16,141.24,132.52,147.35,141.86,136.27,126.34,146.86,126.44,133.21,114.69,3268500,2617600,0
56,2020-03-20,2020-03-23,138.77,121.83,138.77,123.84,123.51,112.62,123.71,118.88,112.21,107.83,2712100,3417400,0
57,2020-03-27,2020-03-30,140.82,143.34,146.62,149.92,138.71,142.04,143.36,148.29,130.03,134.5,1565300,2010000,0
58,2020-04-03,2020-04-06,143.3,150.74,144.38,155.9,140.68,149.81,142.32,154.75,129.09,140.36,2285900,2698100,0
59,2020-04-17,2020-04-20,157.41,158.18,161.42,158.64,155.99,151.41,160.67,153.7,145.73,139.41,1753000,1698000,0
60,2020-04-24,2020-04-27,157.24,163.1,161.09,167.81,155.32,161.46,160.68,166.87,145.74,151.36,1691100,1705100,0
61,2020-05-01,2020-05-04,168.63,169.75,170.9,169.75,166.59,164.91,170.73,168.01,154.86,152.39,1505200,1226700,0
62,2020-05-08,2020-05-11,171.91,172.94,175.26,175.32,171.46,171.45,174.75,174.06,159.4,158.77,767100,891500,0
63,2020-05-15,2020-05-18,164.18,167.41,164.71,172.03,159.13,165.48,160.36,170.73,146.27,155.73,2041300,1314300,0
64,2020-05-29,2020-06-01,179.78,178.12,180.17,179.8,177.36,175.8,178.29,178.34,162.62,162.67,2190300,1937400,0
65,2020-06-05,2020-06-08,200.0,194.42,200.55,197.48,193.69,190.86,194.25,191.49,177.18,174.66,1955300,1532200,0
66,2020-06-12,2020-06-15,179.85,172.66,180.78,178.91,173.38,171.29,178.18,177.61,162.52,162.0,1323200,1208700,0
67,2020-06-19,2020-06-22,176.37,169.98,176.78,171.5,169.06,167.62,170.26,171.47,155.3,156.4,2572700,1507600,0
68,2020-06-26,2020-06-29,170.72,170.55,172.51,173.0,167.41,169.06,169.81,172.68,154.89,157.51,2105500,1060200,0
69,2020-07-10,2020-07-13,170.81,172.38,171.69,177.41,169.15,171.28,170.85,175.13,155.84,159.74,1283300,1144600,0
70,2020-07-17,2020-07-20,184.17,186.77,189.02,187.74,183.82,184.34,188.25,186.17,171.71,169.81,1979400,1943000,0
71,2020-07-24,2020-07-27,187.01,186.47,188.36,190.74,186.62,185.17,187.01,189.93,170.58,173.24,1099300,1418300,0
