Date, Open, High, Low, Close
11/25/24, 5992.28, 6020.75, 5963.91, 5987.37
11/22/24, 5944.36, 5972.90, 5944.36, 5969.34
11/21/24, 5940.58, 5963.32, 5887.26, 5948.71
11/20/24, 5914.34, 5920.67, 5860.56, 5917.11
11/19/24, 5870.05, 5923.51, 5855.29, 5916.98
11/18/24, 5874.17, 5908.12, 5865.95, 5893.62
11/15/24, 5912.79, 5915.32, 5853.01, 5870.62
11/14/24, 5989.68, 5993.88, 5942.28, 5949.17
11/13/24, 5985.75, 6008.19, 5965.91, 5985.38
11/12/24, 6003.60, 6009.92, 5960.08, 5983.99
11/11/24, 6008.86, 6017.31, 5986.69, 6001.35
11/08/24, 5976.76, 6012.45, 5976.76, 5995.54
11/07/24, 5947.21, 5983.84, 5947.21, 5973.10
11/06/24, 5864.89, 5936.14, 5864.89, 5929.04
11/05/24, 5722.43, 5783.44, 5722.10, 5782.76
11/04/24, 5725.15, 5741.43, 5696.51, 5712.69
11/01/24, 5723.22, 5772.52, 5723.22, 5728.80
10/31/24, 5775.34, 5775.34, 5702.86, 5705.45
10/30/24, 5832.65, 5850.94, 5811.28, 5813.67
10/29/24, 5819.68, 5847.19, 5802.17, 5832.92
10/28/24, 5833.93, 5842.92, 5823.08, 5823.52
10/25/24, 5826.75, 5862.82, 5799.98, 5808.12
10/24/24, 5817.80, 5817.80, 5784.92, 5809.86
10/23/24, 5834.50, 5834.85, 5762.41, 5797.42
10/22/24, 5832.70, 5863.04, 5821.17, 5851.20
10/21/24, 5857.82, 5866.92, 5824.79, 5853.98
10/18/24, 5859.43, 5872.17, 5846.11, 5864.67
10/17/24, 5875.62, 5878.46, 5840.25, 5841.47
10/16/24, 5816.58, 5846.52, 5808.34, 5842.47
10/15/24, 5866.74, 5870.36, 5804.48, 5815.26
10/14/24, 5829.81, 5871.41, 5829.57, 5859.85
10/11/24, 5775.09, 5822.13, 5775.09, 5815.03
10/10/24, 5778.36, 5795.03, 5764.76, 5780.05
10/09/24, 5751.80, 5796.80, 5745.02, 5792.04
10/08/24, 5719.14, 5757.60, 5714.56, 5751.13
10/07/24, 5737.80, 5739.34, 5686.85, 5695.94
10/04/24, 5737.48, 5753.21, 5702.83, 5751.07
10/03/24, 5698.19, 5718.78, 5677.37, 5699.94
10/02/24, 5698.14, 5719.63, 5674.00, 5709.54
10/01/24, 5757.73, 5757.73, 5681.28, 5708.75
09/30/24, 5726.52, 5765.14, 5703.53, 5762.48
09/27/24, 5755.36, 5763.78, 5727.34, 5738.17
09/26/24, 5762.22, 5767.37, 5721.01, 5745.37
09/25/24, 5733.65, 5741.03, 5712.06, 5722.26
09/24/24, 5727.66, 5735.32, 5698.99, 5732.93
09/23/24, 5711.90, 5725.36, 5704.22, 5718.57
09/20/24, 5709.64, 5715.14, 5674.49, 5702.55
09/19/24, 5702.63, 5733.57, 5686.42, 5713.64
09/18/24, 5641.68, 5689.75, 5615.08, 5618.26
09/17/24, 5655.51, 5670.81, 5614.05, 5634.58
09/16/24, 5615.21, 5636.05, 5604.53, 5633.09
09/13/24, 5603.34, 5636.27, 5601.65, 5626.02
09/12/24, 5557.48, 5600.71, 5535.50, 5595.76
09/11/24, 5496.42, 5560.41, 5406.96, 5554.13
09/10/24, 5490.51, 5497.91, 5441.72, 5495.52
09/09/24, 5442.07, 5484.20, 5434.49, 5471.05
09/06/24, 5507.33, 5522.47, 5402.62, 5408.42
09/05/24, 5520.08, 5546.30, 5480.54, 5503.41
09/04/24, 5506.68, 5552.99, 5503.66, 5520.07
09/03/24, 5623.89, 5623.89, 5504.33, 5528.93
