,Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close ,Monday_Close ,Friday_Adj Close ,Monday_Adj Close ,Friday_Volume,Monday_Volume,y
0,2019-01-04,2019-01-07,2474.33,2535.61,2538.07,2566.16,2474.33,2524.56,2531.94,2549.69,2531.94,2549.69,4234140000,4133120000,0
1,2019-01-11,2019-01-14,2588.11,2580.31,2596.27,2589.32,2577.4,2570.41,2596.26,2582.61,2596.26,2582.61,3447460000,3689370000,0
2,2019-01-25,2019-01-28,2657.44,2644.97,2672.38,2644.97,2657.33,2624.06,2664.76,2643.85,2664.76,2643.85,3821000000,3630820000,0
3,2019-02-01,2019-02-04,2702.32,2706.49,2716.66,2724.99,2696.88,2698.75,2706.53,2724.87,2706.53,2724.87,3782490000,3369450000,0
4,2019-02-08,2019-02-11,2692.36,2712.4,2708.07,2718.05,2681.83,2703.79,2707.88,2709.8,2707.88,2709.8,3649510000,3395330000,0
5,2019-02-22,2019-02-25,2780.67,2804.35,2794.2,2813.49,2779.11,2794.99,2792.67,2796.11,2792.67,2796.11,3429350000,3860260000,0
6,2019-03-01,2019-03-04,2798.22,2814.37,2808.02,2816.88,2787.38,2767.66,2803.69,2792.81,2803.69,2792.81,3994950000,3949730000,0
7,2019-03-08,2019-03-11,2730.79,2747.61,2744.13,2784.0,2722.27,2747.61,2743.07,2783.3,2743.07,2783.3,3424300000,3764850000,1
8,2019-03-15,2019-03-18,2810.79,2822.61,2830.73,2835.41,2810.79,2821.99,2822.48,2832.94,2822.48,2832.94,5969780000,3620770000,0
9,2019-03-22,2019-03-25,2844.52,2796.01,2846.16,2809.79,2800.47,2785.02,2800.71,2798.36,2800.71,2798.36,4253730000,3406110000,0
10,2019-03-29,2019-04-01,2828.27,2848.63,2836.03,2869.4,2819.23,2848.63,2834.4,2867.19,2834.4,2867.19,3752520000,3560090000,0
11,2019-04-05,2019-04-08,2884.16,2888.46,2893.24,2895.95,2882.99,2880.78,2892.74,2895.77,2892.74,2895.77,3155970000,3056460000,0
12,2019-04-12,2019-04-15,2900.86,2908.32,2910.54,2909.6,2898.37,2896.48,2907.41,2905.58,2907.41,2905.58,3726050000,3114530000,0
13,2019-04-26,2019-04-29,2925.81,2940.58,2939.88,2949.52,2917.56,2939.35,2939.88,2943.03,2939.88,2943.03,3264390000,3150390000,0
14,2019-05-03,2019-05-06,2929.21,2908.89,2947.85,2937.32,2929.21,2898.21,2945.64,2932.47,2945.64,2932.47,3357180000,3203260000,0
15,2019-05-10,2019-05-13,2863.1,2840.19,2891.31,2840.19,2825.39,2801.43,2881.4,2811.87,2881.4,2811.87,3566780000,3900270000,0
16,2019-05-17,2019-05-20,2858.6,2841.94,2885.48,2853.86,2854.23,2831.29,2859.53,2840.23,2859.53,2840.23,3316040000,3293750000,0
17,2019-05-31,2019-06-03,2766.15,2751.53,2768.98,2763.07,2750.52,2728.81,2752.06,2744.45,2752.06,2744.45,3982670000,3952360000,0
18,2019-06-07,2019-06-10,2852.87,2885.83,2884.97,2904.77,2852.87,2885.51,2873.34,2886.73,2873.34,2886.73,3244380000,3209890000,0
19,2019-06-14,2019-06-17,2886.82,2889.75,2894.45,2897.27,2879.62,2887.3,2886.98,2889.67,2886.98,2889.67,2992810000,2828400000,0
20,2019-06-21,2019-06-24,2952.71,2951.42,2964.15,2954.92,2946.87,2944.05,2950.46,2945.35,2950.46,2945.35,5003540000,3136960000,0
21,2019-06-28,2019-07-01,2932.94,2971.41,2943.98,2977.93,2929.05,2952.22,2941.76,2964.33,2941.76,2964.33,5422650000,3524860000,0
22,2019-07-05,2019-07-08,2984.25,2979.77,2994.03,2980.76,2967.97,2970.09,2990.41,2975.95,2990.41,2975.95,2434680000,2922360000,0
23,2019-07-12,2019-07-15,3003.36,3017.8,3013.92,3017.8,3001.87,3008.77,3013.77,3014.3,3013.77,3014.3,2984140000,2876100000,0
24,2019-07-19,2019-07-22,3004.26,2981.93,3006.02,2990.71,2975.86,2976.65,2976.61,2985.03,2976.61,2985.03,3285890000,3016200000,0
25,2019-07-26,2019-07-29,3013.25,3024.47,3027.98,3025.61,3012.59,3014.3,3025.86,3020.97,3025.86,3020.97,3260170000,3224490000,0
26,2019-08-02,2019-08-05,2943.9,2898.07,2945.5,2898.07,2914.11,2822.12,2932.05,2844.74,2932.05,2844.74,3882810000,4542850000,0
27,2019-08-09,2019-08-12,2930.51,2907.07,2935.75,2907.58,2900.15,2873.14,2918.65,2882.7,2918.65,2882.7,3356850000,3328570000,0
28,2019-08-16,2019-08-19,2864.74,2913.48,2893.63,2931.0,2864.74,2913.48,2888.68,2923.65,2888.68,2923.65,3524080000,3221050000,0
29,2019-08-23,2019-08-26,2911.07,2866.7,2927.01,2879.27,2834.97,2856.0,2847.11,2878.38,2847.11,2878.38,3942520000,2859790000,0
30,2019-09-06,2019-09-09,2980.33,2988.43,2985.03,2989.43,2972.51,2969.39,2978.71,2978.43,2978.71,2978.43,3209340000,4031120000,0
31,2019-09-13,2019-09-16,3012.21,2996.41,3017.33,3002.19,3002.9,2990.67,3007.39,2997.96,3007.39,2997.96,3557010000,4285860000,0
32,2019-09-20,2019-09-23,3008.42,2983.5,3016.37,2999.15,2984.68,2982.23,2992.07,2991.78,2992.07,2991.78,6103440000,3187250000,0
33,2019-09-27,2019-09-30,2985.47,2967.07,2987.31,2983.85,2945.53,2967.07,2961.79,2976.74,2961.79,2976.74,3246480000,3249130000,0
34,2019-10-04,2019-10-07,2918.56,2944.23,2953.74,2959.75,2918.56,2935.68,2952.01,2938.79,2952.01,2938.79,3005600000,2959050000,0
35,2019-10-11,2019-10-14,2963.07,2965.81,2993.28,2972.84,2963.07,2962.94,2970.27,2966.15,2970.27,2966.15,3581320000,2559270000,0
36,2019-10-18,2019-10-21,2996.84,2996.48,3000.0,3007.33,2976.31,2995.35,2986.2,3006.72,2986.2,3006.72,3268970000,3271960000,0
37,2019-10-25,2019-10-28,3003.32,3032.12,3027.39,3044.08,3001.94,3032.12,3022.55,3039.42,3022.55,3039.42,3379060000,3524970000,0
38,2019-11-01,2019-11-04,3050.72,3078.96,3066.95,3085.2,3050.72,3074.87,3066.91,3078.27,3066.91,3078.27,3956290000,4178040000,1
39,2019-11-08,2019-11-11,3081.25,3080.33,3093.09,3088.33,3073.58,3075.82,3093.08,3087.01,3093.08,3087.01,3508160000,3041120000,0
40,2019-11-15,2019-11-18,3107.92,3117.91,3120.46,3124.17,3104.6,3112.06,3120.46,3122.03,3120.46,3122.03,3359800000,3440140000,0
41,2019-11-22,2019-11-25,3111.41,3117.44,3112.87,3133.83,3099.26,3117.44,3110.29,3133.64,3110.29,3133.64,3235270000,3514310000,0
42,2019-11-29,2019-12-02,3147.18,3143.85,3150.3,3144.31,3139.34,3110.78,3140.98,3113.87,3140.98,3113.87,1743420000,3285750000,0
43,2019-12-06,2019-12-09,3134.62,3141.86,3150.6,3148.87,3134.62,3135.46,3145.91,3135.96,3145.91,3135.96,3483310000,3400470000,0
44,2019-12-13,2019-12-16,3166.65,3183.63,3182.68,3197.71,3156.51,3183.63,3168.8,3191.45,3168.8,3191.45,3757650000,4070200000,0
45,2019-12-20,2019-12-23,3223.33,3226.05,3225.65,3227.78,3216.03,3222.3,3221.22,3224.01,3221.22,3224.01,6457480000,3064530000,0
46,2019-12-27,2019-12-30,3247.23,3240.09,3247.93,3240.92,3234.37,3216.57,3240.02,3221.29,3240.02,3221.29,2429150000,3021720000,0
47,2020-01-03,2020-01-06,3226.36,3217.55,3246.15,3246.84,3222.34,3214.64,3234.85,3246.28,3234.85,3246.28,3484700000,3702460000,0
48,2020-01-10,2020-01-13,3281.81,3271.13,3282.99,3288.13,3260.86,3268.43,3265.35,3288.13,3265.35,3288.13,3214580000,3459390000,0
49,2020-01-24,2020-01-27,3333.1,3247.16,3333.18,3258.85,3281.53,3234.5,3295.47,3243.63,3295.47,3243.63,3708780000,3831050000,0
50,2020-01-31,2020-02-03,3282.33,3235.66,3282.33,3268.44,3214.68,3235.66,3225.52,3248.92,3225.52,3248.92,4529700000,3760460000,0
51,2020-02-07,2020-02-10,3335.54,3318.28,3341.42,3352.26,3322.12,3317.77,3327.71,3352.09,3327.71,3352.09,3733920000,3462730000,0
52,2020-02-21,2020-02-24,3360.5,3257.61,3360.76,3259.81,3328.45,3214.65,3337.75,3225.89,3337.75,3225.89,3908780000,4851160000,0
53,2020-02-28,2020-03-02,2916.9,2974.28,2959.72,3090.96,2855.84,2945.19,2954.22,3090.23,2954.22,3090.23,8569570000,6381330000,0
54,2020-03-06,2020-03-09,2954.2,2863.89,2985.93,2863.89,2901.54,2734.43,2972.37,2746.56,2972.37,2746.56,6555240000,8441290000,1
55,2020-03-13,2020-03-16,2569.99,2508.59,2711.33,2562.98,2492.37,2380.94,2711.02,2386.13,2711.02,2386.13,8299070000,7805450000,0
56,2020-03-20,2020-03-23,2431.94,2290.71,2453.01,2300.73,2295.56,2191.86,2304.92,2237.4,2304.92,2237.4,9053950000,7411380000,0
57,2020-03-27,2020-03-30,2555.87,2558.98,2615.91,2631.8,2520.02,2545.28,2541.47,2626.65,2541.47,2626.65,6201670000,5751120000,0
58,2020-04-03,2020-04-06,2514.92,2578.28,2538.18,2676.85,2459.96,2574.57,2488.65,2663.68,2488.65,2663.68,6096970000,6403840000,0
59,2020-04-17,2020-04-20,2842.43,2845.62,2879.22,2868.98,2830.88,2820.43,2874.56,2823.16,2874.56,2823.16,5804810000,5228630000,0
60,2020-04-24,2020-04-27,2812.64,2854.65,2842.71,2887.72,2791.76,2852.89,2836.74,2878.48,2836.74,2878.48,5382810000,5203930000,0
61,2020-05-01,2020-05-04,2869.09,2815.01,2869.09,2844.24,2821.61,2797.85,2830.71,2842.74,2830.71,2842.74,4759810000,4735930000,0
62,2020-05-08,2020-05-11,2908.83,2915.46,2932.16,2944.25,2902.88,2903.44,2929.8,2930.19,2929.8,2930.19,4876030000,4819730000,0
63,2020-05-15,2020-05-18,2829.95,2913.86,2865.01,2968.09,2816.78,2913.86,2863.7,2953.91,2863.7,2953.91,5507700000,6373670000,0
64,2020-05-29,2020-06-01,3025.17,3038.78,3049.17,3062.18,2998.61,3031.54,3044.31,3055.73,3044.31,3055.73,7297550000,4684170000,0
65,2020-06-05,2020-06-08,3163.84,3199.92,3211.72,3233.13,3163.84,3196.0,3193.93,3232.39,3193.93,3232.39,8639300000,8498300000,0
66,2020-06-12,2020-06-15,3071.04,2993.76,3088.42,3079.76,2984.47,2965.66,3041.31,3066.59,3041.31,3066.59,5845330000,5757480000,0
67,2020-06-19,2020-06-22,3140.29,3094.42,3155.53,3120.92,3083.11,3079.39,3097.74,3117.86,3097.74,3117.86,8346650000,4686690000,0
68,2020-06-26,2020-06-29,3073.2,3018.59,3073.73,3053.89,3004.63,2999.74,3009.05,3053.24,3009.05,3053.24,8107850000,4473970000,0
69,2020-07-10,2020-07-13,3152.47,3205.08,3186.82,3235.32,3136.22,3149.43,3185.04,3155.22,3185.04,3155.22,4524190000,4902440000,0
70,2020-07-17,2020-07-20,3224.21,3224.29,3233.52,3258.61,3205.65,3215.16,3224.73,3251.84,3224.73,3251.84,4012850000,3979340000,0
71,2020-07-24,2020-07-27,3218.58,3219.84,3227.26,3241.43,3200.05,3214.25,3215.63,3239.41,3215.63,3239.41,3689410000,3970310000,0
72,2020-07-31,2020-08-03,3270.45,3288.26,3272.17,3302.73,3220.26,3284.53,3271.12,3294.61,3271.12,3294.61,5007530000,4438940000,0
73,2020-08-07,2020-08-10,3340.05,3356.04,3352.54,3363.29,3328.72,3335.44,3351.28,3360.47,3351.28,3360.47,4110030000,4327920000,0
74,2020-08-14,2020-08-17,3368.66,3380.86,3378.51,3387.59,3361.64,3379.22,3372.85,3381.99,3372.85,3381.99,3200060000,3460330000,0
75,2020-08-21,2020-08-24,3386.01,3418.09,3399.96,3432.09,3379.31,3413.13,3397.16,3431.28,3397.16,3431.28,3505010000,3743410000,0
76,2020-08-28,2020-08-31,3494.69,3509.73,3509.23,3514.77,3484.32,3493.25,3508.01,3500.31,3508.01,3500.31,3868510000,4348280000,0
77,2020-09-11,2020-09-14,3352.7,3363.56,3368.95,3402.93,3310.47,3363.56,3340.97,3383.54,3340.97,3383.54,3710090000,3839580000,0
78,2020-09-18,2020-09-21,3357.38,3285.57,3362.27,3285.57,3292.4,3229.1,3319.47,3281.06,3319.47,3281.06,7076400000,4836070000,0
79,2020-09-25,2020-09-28,3236.66,3333.9,3306.88,3360.74,3228.44,3332.91,3298.46,3351.6,3298.46,3351.6,3803330000,3950910000,0
