,Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close ,Monday_Close ,Friday_Adj Close ,Monday_Adj Close ,Friday_Volume,Monday_Volume,y
0,2019-01-04,2019-01-07,48.05,48.8,49.18,49.13,48.04,47.53,48.81,47.89,40.6,39.83,38200,29900,0
1,2019-01-11,2019-01-14,48.79,48.39,48.97,48.64,48.21,47.05,48.57,47.21,40.4,39.27,31200,36000,0
2,2019-01-25,2019-01-28,50.01,48.79,50.18,49.35,48.81,48.6,48.83,48.64,40.61,40.45,34800,22400,0
3,2019-02-01,2019-02-04,52.59,51.16,52.59,52.8,51.0,51.04,51.68,51.7,42.98,43.0,51400,52900,0
4,2019-02-08,2019-02-11,52.31,53.11,53.26,53.39,52.19,52.68,53.09,52.88,44.16,43.98,40100,39500,0
5,2019-02-22,2019-02-25,54.33,54.62,54.6,54.84,54.07,53.96,54.5,54.18,45.65,45.38,31400,32800,0
6,2019-03-01,2019-03-04,54.81,55.19,55.4,55.43,54.14,54.87,55.39,55.2,46.39,46.24,44800,26900,0
7,2019-03-08,2019-03-11,53.64,54.93,54.39,55.24,53.5,53.94,54.02,55.24,45.25,46.27,33900,31400,1
8,2019-03-15,2019-03-18,55.0,54.96,55.69,55.19,54.8,54.37,54.98,54.71,46.05,45.82,117000,19100,0
9,2019-03-22,2019-03-25,54.07,53.59,55.0,54.45,53.57,53.59,53.62,54.27,44.91,45.46,51400,33100,0
10,2019-03-29,2019-04-01,53.5,54.36,54.37,54.41,53.31,53.66,54.17,54.0,45.37,45.23,55500,37000,0
11,2019-04-05,2019-04-08,53.97,54.99,55.09,54.99,53.83,54.01,55.05,54.54,46.11,45.68,45300,24300,0
12,2019-04-12,2019-04-15,54.76,55.04,55.0,55.13,54.09,54.59,54.87,54.64,45.96,45.77,36400,17100,0
13,2019-04-26,2019-04-29,56.24,56.87,59.19,56.87,56.24,56.13,56.79,56.41,47.57,47.25,86500,46900,0
14,2019-05-03,2019-05-06,55.99,56.62,57.29,57.6,55.99,56.62,56.86,57.14,47.63,47.86,85600,40000,0
15,2019-05-10,2019-05-13,56.03,56.57,56.92,57.6,56.0,56.57,56.92,57.6,47.68,48.25,44300,61000,0
16,2019-05-17,2019-05-20,56.84,56.86,57.52,57.5,56.78,56.86,56.98,57.31,48.03,48.31,90600,40900,0
17,2019-05-31,2019-06-03,56.12,56.92,57.02,57.21,55.55,56.46,56.86,57.11,47.93,48.14,74500,84600,0
18,2019-06-07,2019-06-10,58.88,58.47,59.79,58.47,58.42,57.24,58.47,57.66,49.29,48.61,68100,34500,0
19,2019-06-14,2019-06-17,58.98,59.6,59.9,59.6,58.98,58.51,59.52,58.8,50.18,49.57,24700,62600,0
20,2019-06-21,2019-06-24,60.81,61.35,61.85,61.41,60.49,60.64,61.2,61.27,51.59,51.65,120900,70200,0
21,2019-06-28,2019-07-01,58.58,59.71,60.13,60.23,58.55,58.78,59.89,59.72,50.49,50.34,153900,59300,0
22,2019-07-05,2019-07-08,59.92,60.65,60.62,60.75,59.07,59.82,60.54,60.13,51.04,50.69,33800,32400,0
23,2019-07-12,2019-07-15,59.72,59.75,60.05,59.99,59.41,59.21,59.62,59.25,50.26,49.95,34700,37200,0
24,2019-07-19,2019-07-22,60.01,58.67,60.6,59.45,59.23,58.21,59.27,58.65,49.97,49.44,33200,36300,0
25,2019-07-26,2019-07-29,59.32,59.83,60.19,60.23,59.21,59.52,59.78,60.23,50.39,50.77,54600,47400,0
26,2019-08-02,2019-08-05,58.33,58.94,59.5,59.04,58.33,56.18,59.01,56.88,49.75,47.95,50300,85100,0
27,2019-08-09,2019-08-12,57.8,58.44,58.75,59.25,57.8,57.97,58.63,58.94,49.43,49.69,41800,24800,0
28,2019-08-16,2019-08-19,59.27,59.8,59.75,60.33,58.18,58.64,59.64,59.59,50.59,50.55,34400,40200,0
29,2019-08-23,2019-08-26,59.52,58.75,60.3,59.7,58.36,58.75,58.53,59.63,49.65,50.59,44000,25100,0
30,2019-09-06,2019-09-09,60.72,59.59,60.95,59.74,59.67,58.79,59.71,59.62,50.65,50.58,37400,33700,0
31,2019-09-13,2019-09-16,60.95,60.54,61.45,61.5,60.28,60.34,60.54,60.5,51.36,51.32,47700,33400,0
32,2019-09-20,2019-09-23,61.19,62.43,62.4,62.94,61.19,61.68,62.4,61.83,52.94,52.45,114000,47800,0
33,2019-09-27,2019-09-30,63.37,62.83,63.49,63.57,62.67,62.83,62.98,63.44,53.43,53.82,41100,56400,0
34,2019-10-04,2019-10-07,63.57,64.23,64.36,64.37,63.38,63.74,64.33,64.1,54.57,54.38,68000,177900,0
35,2019-10-11,2019-10-14,62.59,62.77,63.48,63.1,62.08,62.02,62.85,62.25,53.32,52.81,43700,28300,0
36,2019-10-18,2019-10-21,62.28,62.51,62.57,63.03,61.96,62.03,62.53,62.8,53.05,53.27,78800,44300,0
37,2019-10-25,2019-10-28,63.21,62.13,63.21,62.13,62.11,60.8,62.41,61.1,52.94,51.83,43600,56400,0
38,2019-11-01,2019-11-04,62.27,62.15,62.62,62.19,61.83,60.79,62.23,60.83,52.79,51.6,45500,49800,1
39,2019-11-08,2019-11-11,59.56,59.0,60.06,59.44,58.77,58.95,59.05,59.28,50.09,50.29,43200,33100,0
40,2019-11-15,2019-11-18,60.23,60.23,60.23,60.88,59.8,60.12,60.06,60.16,51.27,51.36,37500,27900,0
41,2019-11-22,2019-11-25,60.72,60.81,60.93,61.18,59.9,60.35,60.84,60.8,51.94,51.9,31700,56900,0
42,2019-11-29,2019-12-02,61.04,60.54,61.57,60.9,60.89,60.25,61.04,60.61,52.11,51.74,21200,54000,0
43,2019-12-06,2019-12-09,61.59,62.34,62.72,62.81,61.59,62.15,62.43,62.54,53.29,53.39,80500,68500,0
44,2019-12-13,2019-12-16,62.1,62.13,62.24,62.98,61.57,62.13,62.11,62.86,53.02,53.66,53000,64600,0
45,2019-12-20,2019-12-23,62.76,63.08,63.26,63.1,62.55,61.4,62.95,61.48,53.74,52.48,115500,40000,0
46,2019-12-27,2019-12-30,61.14,61.19,61.34,61.49,60.96,60.95,61.27,61.38,52.3,52.4,31600,61900,0
47,2020-01-03,2020-01-06,60.65,61.12,61.59,61.43,60.55,60.8,61.22,61.0,52.26,52.07,76300,57600,0
48,2020-01-10,2020-01-13,60.67,61.16,61.31,62.11,60.57,61.16,61.29,61.97,52.32,52.9,82700,40800,0
49,2020-01-24,2020-01-27,63.74,64.01,64.74,64.29,63.74,63.71,64.05,63.77,54.68,54.44,48900,38100,0
50,2020-01-31,2020-02-03,63.8,61.65,64.25,61.65,61.63,60.64,61.69,61.27,52.66,52.3,60600,52600,0
51,2020-02-07,2020-02-10,62.84,62.59,62.87,63.45,62.12,62.59,62.68,63.36,53.51,54.09,51600,55000,0
52,2020-02-21,2020-02-24,64.42,62.97,64.75,63.51,63.59,62.78,63.61,63.1,54.62,54.18,41400,49000,0
53,2020-02-28,2020-03-02,57.93,56.63,57.93,58.46,55.16,56.2,56.34,58.26,48.38,50.03,119400,69300,0
54,2020-03-06,2020-03-09,58.26,59.71,61.02,61.45,56.88,58.4,60.91,60.85,52.3,52.25,92900,132300,1
55,2020-03-13,2020-03-16,52.43,48.92,55.56,51.4,51.5,46.84,55.43,47.25,47.6,40.57,124000,89300,0
56,2020-03-20,2020-03-23,52.47,43.85,52.47,43.85,44.35,39.33,44.71,41.68,38.39,35.79,164600,147600,0
57,2020-03-27,2020-03-30,49.55,51.49,54.14,54.54,47.33,50.96,51.75,53.0,44.44,45.51,71600,71100,0
58,2020-04-03,2020-04-06,50.22,50.95,51.63,54.14,47.54,50.95,48.9,53.89,41.99,46.27,73700,80100,0
59,2020-04-17,2020-04-20,52.69,53.11,54.8,53.87,52.12,50.11,54.33,50.54,46.65,43.4,56400,38800,0
60,2020-04-24,2020-04-27,50.3,52.3,52.3,54.88,49.13,52.3,51.84,53.27,44.51,45.74,83300,60300,0
61,2020-05-01,2020-05-04,49.06,47.97,49.29,49.02,47.76,47.85,48.78,48.98,41.89,42.06,63000,67000,0
62,2020-05-08,2020-05-11,48.72,49.34,50.14,49.34,48.22,47.39,49.97,48.51,42.91,41.66,60400,84800,0
63,2020-05-15,2020-05-18,44.98,46.14,45.13,47.16,43.37,45.72,44.92,46.85,38.9,40.57,76300,86100,0
64,2020-05-29,2020-06-01,48.32,47.9,48.71,48.72,47.5,47.7,48.17,48.08,41.71,41.63,78400,65000,0
65,2020-06-05,2020-06-08,48.97,50.92,50.94,51.22,48.9,50.11,50.37,50.87,43.61,44.05,80700,51200,0
66,2020-06-12,2020-06-15,49.36,47.01,49.5,49.28,47.31,47.01,48.16,48.3,41.7,41.82,115000,82300,0
