Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close,Monday_Close,y
1985-03-29,1985-04-01,12613.27,12609.94,12622.62,12677.15,12567.32,12600.97,12580.76,12677.15,0
1985-04-05,1985-04-08,12637.11,12589.15,12643.78,12635.96,12523.55,12572.27,12544.24,12635.96,0
1985-04-12,1985-04-15,12580.09,12597.16,12592.68,12618.99,12558.64,12552.73,12588.01,12552.73,0
1985-04-19,1985-04-22,12040.9,12267.73,12152.84,12278.32,11996.0,12172.29,12114.8,12179.92,0
1985-05-10,1985-05-13,12491.6,12569.12,12527.31,12571.8,12475.37,12531.32,12527.31,12541.53,0
1985-05-17,1985-05-20,12407.77,12542.58,12434.6,12574.47,12381.99,12538.67,12419.99,12559.1,0
1985-05-24,1985-05-27,12625.07,12631.56,12649.51,12642.73,12588.03,12609.6,12593.85,12642.73,0
1985-05-31,1985-06-03,12807.32,12688.99,12835.87,12689.57,12748.11,12456.55,12758.46,12473.41,0
1985-06-07,1985-06-10,12738.33,12700.49,12743.89,12721.95,12638.02,12661.21,12716.59,12683.34,0
1985-06-14,1985-06-17,12693.4,12776.56,12696.56,12789.88,12677.3,12759.8,12685.25,12769.28,0
1985-06-21,1985-06-24,12653.25,12783.46,12668.3,12807.51,12634.76,12765.93,12634.76,12765.93,0
1985-06-28,1985-07-01,12889.67,12949.63,12923.05,12959.32,12882.09,12912.41,12882.09,12919.03,0
1985-07-05,1985-07-08,12995.01,13068.5,13016.69,13102.66,12941.0,13029.65,12963.35,13029.65,0
1985-07-12,1985-07-15,12860.5,12851.87,12885.06,12852.15,12823.56,12461.38,12839.49,12598.77,0
1985-07-19,1985-07-22,12850.62,12794.78,12855.61,12816.75,12780.39,12760.34,12788.54,12771.66,0
1985-07-26,1985-07-29,12638.59,12702.66,12663.92,12710.24,12615.47,12582.11,12648.09,12591.42,0
1985-08-02,1985-08-05,12567.9,12497.84,12586.24,12502.16,12525.87,12444.76,12525.96,12450.62,0
1985-08-09,1985-08-12,12401.29,12397.93,12416.64,12399.75,12391.3,12370.0,12401.19,12372.88,0
