,ticker,exchange,name,sector,industry
0,PIH,NASDAQ,"1347 PROPERTY INSURANCE HOLDINGS, INC.",FINANCE,PROPERTY-CASUALTY INSURERS
1,PIHPP,NASDAQ,"1347 PROPERTY INSURANCE HOLDINGS, INC.",FINANCE,PROPERTY-CASUALTY INSURERS
2,TURN,NASDAQ,180 DEGREE CAPITAL CORP.,FINANCE,FINANCE/INVESTORS SERVICES
4,FCCY,NASDAQ,1ST CONSTITUTION BANCORP (NJ),FINANCE,SAVINGS INSTITUTIONS
5,SRCE,NASDAQ,1ST SOURCE CORPORATION,FINANCE,MAJOR BANKS
29,ANCX,NASDAQ,ACCESS NATIONAL CORPORATION,FINANCE,SAVINGS INSTITUTIONS
40,ACNB,NASDAQ,ACNB CORPORATION,FINANCE,MAJOR BANKS
82,AGFS,NASDAQ,"AGROFRESH SOLUTIONS, INC.",FINANCE,BUSINESS SERVICES
83,AGFSW,NASDAQ,"AGROFRESH SOLUTIONS, INC.",FINANCE,BUSINESS SERVICES
109,ABTX,NASDAQ,"ALLEGIANCE BANCSHARES, INC.",FINANCE,MAJOR BANKS
128,AMR,NASDAQ,"ALTA MESA RESOURCES, INC.",FINANCE,BUSINESS SERVICES
129,AMRWW,NASDAQ,"ALTA MESA RESOURCES, INC.",FINANCE,BUSINESS SERVICES
139,AMBC,NASDAQ,"AMBAC FINANCIAL GROUP, INC.",FINANCE,PROPERTY-CASUALTY INSURERS
140,AMBCW,NASDAQ,"AMBAC FINANCIAL GROUP, INC.",FINANCE,PROPERTY-CASUALTY INSURERS
149,ATAX,NASDAQ,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",FINANCE,FINANCE: CONSUMER SERVICES
153,AMNB,NASDAQ,"AMERICAN NATIONAL BANKSHARES, INC.",FINANCE,MAJOR BANKS
154,ANAT,NASDAQ,AMERICAN NATIONAL INSURANCE COMPANY,FINANCE,LIFE INSURANCE
158,AMRB,NASDAQ,AMERICAN RIVER BANKSHARES,FINANCE,MAJOR BANKS
163,ABCB,NASDAQ,AMERIS BANCORP,FINANCE,MAJOR BANKS
164,AMSF,NASDAQ,"AMERISAFE, INC.",FINANCE,PROPERTY-CASUALTY INSURERS
165,ASRV,NASDAQ,AMERISERV FINANCIAL INC.,FINANCE,MAJOR BANKS
