,Fridays,Mondays
0,1970-01-02,1970-01-05
1,1970-01-09,1970-01-12
2,1970-01-16,1970-01-19
3,1970-01-23,1970-01-26
4,1970-01-30,1970-02-02
5,1970-02-06,1970-02-09
6,1970-02-13,1970-02-16
7,1970-02-20,1970-02-23
8,1970-02-27,1970-03-02
9,1970-03-06,1970-03-09
10,1970-03-13,1970-03-16
11,1970-03-20,1970-03-23
12,1970-03-27,1970-03-30
13,1970-04-03,1970-04-06
14,1970-04-10,1970-04-13
15,1970-04-17,1970-04-20
16,1970-04-24,1970-04-27
17,1970-05-01,1970-05-04
18,1970-05-08,1970-05-11
19,1970-05-15,1970-05-18
20,1970-05-22,1970-05-25
21,1970-05-29,1970-06-01
22,1970-06-05,1970-06-08
23,1970-06-12,1970-06-15
24,1970-06-19,1970-06-22
25,1970-06-26,1970-06-29
26,1970-07-03,1970-07-06
27,1970-07-10,1970-07-13
28,1970-07-17,1970-07-20
29,1970-07-24,1970-07-27
30,1970-07-31,1970-08-03
31,1970-08-07,1970-08-10
32,1970-08-14,1970-08-17
33,1970-08-21,1970-08-24
34,1970-08-28,1970-08-31
35,1970-09-04,1970-09-07
36,1970-09-11,1970-09-14
37,1970-09-18,1970-09-21
38,1970-09-25,1970-09-28
39,1970-10-02,1970-10-05
40,1970-10-09,1970-10-12
41,1970-10-16,1970-10-19
42,1970-10-23,1970-10-26
43,1970-10-30,1970-11-02
44,1970-11-06,1970-11-09
45,1970-11-13,1970-11-16
46,1970-11-20,1970-11-23
47,1970-11-27,1970-11-30
48,1970-12-04,1970-12-07
49,1970-12-11,1970-12-14
50,1970-12-18,1970-12-21
51,1970-12-25,1970-12-28
52,1971-01-01,1971-01-04
53,1971-01-08,1971-01-11
54,1971-01-15,1971-01-18
55,1971-01-22,1971-01-25
56,1971-01-29,1971-02-01
57,1971-02-05,1971-02-08
58,1971-02-12,1971-02-15
59,1971-02-19,1971-02-22
60,1971-02-26,1971-03-01
61,1971-03-05,1971-03-08
62,1971-03-12,1971-03-15
63,1971-03-19,1971-03-22
64,1971-03-26,1971-03-29
65,1971-04-02,1971-04-05
66,1971-04-09,1971-04-12
67,1971-04-16,1971-04-19
68,1971-04-23,1971-04-26
69,1971-04-30,1971-05-03
70,1971-05-07,1971-05-10
71,1971-05-14,1971-05-17
72,1971-05-21,1971-05-24
73,1971-05-28,1971-05-31
74,1971-06-04,1971-06-07
75,1971-06-11,1971-06-14
76,1971-06-18,1971-06-21
77,1971-06-25,1971-06-28
78,1971-07-02,1971-07-05
79,1971-07-09,1971-07-12
80,1971-07-16,1971-07-19
81,1971-07-23,1971-07-26
82,1971-07-30,1971-08-02
83,1971-08-06,1971-08-09
84,1971-08-13,1971-08-16
85,1971-08-20,1971-08-23
86,1971-08-27,1971-08-30
87,1971-09-03,1971-09-06
88,1971-09-10,1971-09-13
89,1971-09-17,1971-09-20
90,1971-09-24,1971-09-27
91,1971-10-01,1971-10-04
92,1971-10-08,1971-10-11
93,1971-10-15,1971-10-18
94,1971-10-22,1971-10-25
95,1971-10-29,1971-11-01
96,1971-11-05,1971-11-08
97,1971-11-12,1971-11-15
98,1971-11-19,1971-11-22
99,1971-11-26,1971-11-29
100,1971-12-03,1971-12-06
101,1971-12-10,1971-12-13
102,1971-12-17,1971-12-20
103,1971-12-24,1971-12-27
104,1971-12-31,1972-01-03
105,1972-01-07,1972-01-10
106,1972-01-14,1972-01-17
107,1972-01-21,1972-01-24
108,1972-01-28,1972-01-31
109,1972-02-04,1972-02-07
110,1972-02-11,1972-02-14
111,1972-02-18,1972-02-21
112,1972-02-25,1972-02-28
113,1972-03-03,1972-03-06
114,1972-03-10,1972-03-13
115,1972-03-17,1972-03-20
116,1972-03-24,1972-03-27
117,1972-03-31,1972-04-03
118,1972-04-07,1972-04-10
119,1972-04-14,1972-04-17
120,1972-04-21,1972-04-24
121,1972-04-28,1972-05-01
122,1972-05-05,1972-05-08
123,1972-05-12,1972-05-15
124,1972-05-19,1972-05-22
125,1972-05-26,1972-05-29
126,1972-06-02,1972-06-05
127,1972-06-09,1972-06-12
128,1972-06-16,1972-06-19
129,1972-06-23,1972-06-26
130,1972-06-30,1972-07-03
131,1972-07-07,1972-07-10
132,1972-07-14,1972-07-17
133,1972-07-21,1972-07-24
134,1972-07-28,1972-07-31
135,1972-08-04,1972-08-07
136,1972-08-11,1972-08-14
137,1972-08-18,1972-08-21
138,1972-08-25,1972-08-28
139,1972-09-01,1972-09-04
140,1972-09-08,1972-09-11
141,1972-09-15,1972-09-18
142,1972-09-22,1972-09-25
143,1972-09-29,1972-10-02
144,1972-10-06,1972-10-09
145,1972-10-13,1972-10-16
146,1972-10-20,1972-10-23
147,1972-10-27,1972-10-30
148,1972-11-03,1972-11-06
149,1972-11-10,1972-11-13
150,1972-11-17,1972-11-20
151,1972-11-24,1972-11-27
152,1972-12-01,1972-12-04
153,1972-12-08,1972-12-11
154,1972-12-15,1972-12-18
155,1972-12-22,1972-12-25
156,1972-12-29,1973-01-01
157,1973-01-05,1973-01-08
158,1973-01-12,1973-01-15
159,1973-01-19,1973-01-22
160,1973-01-26,1973-01-29
161,1973-02-02,1973-02-05
162,1973-02-09,1973-02-12
163,1973-02-16,1973-02-19
164,1973-02-23,1973-02-26
165,1973-03-02,1973-03-05
166,1973-03-09,1973-03-12
167,1973-03-16,1973-03-19
168,1973-03-23,1973-03-26
169,1973-03-30,1973-04-02
170,1973-04-06,1973-04-09
171,1973-04-13,1973-04-16
172,1973-04-20,1973-04-23
173,1973-04-27,1973-04-30
174,1973-05-04,1973-05-07
175,1973-05-11,1973-05-14
176,1973-05-18,1973-05-21
177,1973-05-25,1973-05-28
178,1973-06-01,1973-06-04
179,1973-06-08,1973-06-11
180,1973-06-15,1973-06-18
181,1973-06-22,1973-06-25
182,1973-06-29,1973-07-02
183,1973-07-06,1973-07-09
184,1973-07-13,1973-07-16
185,1973-07-20,1973-07-23
186,1973-07-27,1973-07-30
187,1973-08-03,1973-08-06
188,1973-08-10,1973-08-13
189,1973-08-17,1973-08-20
190,1973-08-24,1973-08-27
191,1973-08-31,1973-09-03
192,1973-09-07,1973-09-10
193,1973-09-14,1973-09-17
194,1973-09-21,1973-09-24
195,1973-09-28,1973-10-01
196,1973-10-05,1973-10-08
197,1973-10-12,1973-10-15
198,1973-10-19,1973-10-22
199,1973-10-26,1973-10-29
200,1973-11-02,1973-11-05
201,1973-11-09,1973-11-12
202,1973-11-16,1973-11-19
203,1973-11-23,1973-11-26
204,1973-11-30,1973-12-03
205,1973-12-07,1973-12-10
206,1973-12-14,1973-12-17
207,1973-12-21,1973-12-24
208,1973-12-28,1973-12-31
209,1974-01-04,1974-01-07
210,1974-01-11,1974-01-14
211,1974-01-18,1974-01-21
212,1974-01-25,1974-01-28
213,1974-02-01,1974-02-04
214,1974-02-08,1974-02-11
215,1974-02-15,1974-02-18
216,1974-02-22,1974-02-25
217,1974-03-01,1974-03-04
218,1974-03-08,1974-03-11
219,1974-03-15,1974-03-18
220,1974-03-22,1974-03-25
221,1974-03-29,1974-04-01
222,1974-04-05,1974-04-08
223,1974-04-12,1974-04-15
224,1974-04-19,1974-04-22
225,1974-04-26,1974-04-29
226,1974-05-03,1974-05-06
227,1974-05-10,1974-05-13
228,1974-05-17,1974-05-20
229,1974-05-24,1974-05-27
230,1974-05-31,1974-06-03
231,1974-06-07,1974-06-10
232,1974-06-14,1974-06-17
233,1974-06-21,1974-06-24
234,1974-06-28,1974-07-01
235,1974-07-05,1974-07-08
236,1974-07-12,1974-07-15
237,1974-07-19,1974-07-22
238,1974-07-26,1974-07-29
239,1974-08-02,1974-08-05
240,1974-08-09,1974-08-12
241,1974-08-16,1974-08-19
242,1974-08-23,1974-08-26
243,1974-08-30,1974-09-02
244,1974-09-06,1974-09-09
245,1974-09-13,1974-09-16
246,1974-09-20,1974-09-23
247,1974-09-27,1974-09-30
248,1974-10-04,1974-10-07
249,1974-10-11,1974-10-14
250,1974-10-18,1974-10-21
